,Unnamed: 0,2021-01-02,2019-12-28,2018-12-29,2017-12-30
0,Intangible Assets,681127000.0,709756000.0,550593000.0,597674000.0
1,Capital Surplus,783709000.0,735183000.0,694797000.0,664646000.0
2,Total Liab,8280124000.0,7699444000.0,5489835000.0,5067105000.0
3,Total Stockholder Equity,3559512000.0,3549081000.0,3550813000.0,3415196000.0
4,Other Current Liab,153454000.0,201725000.0,269657000.0,227906000.0
5,Total Assets,11839636000.0,11248525000.0,9040648000.0,8482301000.0
6,Common Stock,8000.0,8000.0,8000.0,8000.0
7,Other Current Assets,146811000.0,155241000.0,198408000.0,105106000.0
8,Retained Earnings,4196634000.0,3772848000.0,3326155000.0,2920096000.0
9,Other Liab,488726000.0,457263000.0,558165000.0,542681000.0
10,Good Will,993590000.0,992240000.0,990237000.0,994293000.0
11,Treasury Stock,-1420839000.0,-958958000.0,-470147000.0,-169554000.0
12,Other Assets,52329000.0,52448000.0,48379000.0,69304000.0
13,Cash,834992000.0,418665000.0,896527000.0,546937000.0
14,Total Current Liabilities,4743915000.0,4477702000.0,3885950000.0,3480097000.0
15,Other Stockholder Equity,-26759000.0,-34569000.0,-44193000.0,-24954000.0
16,Property Plant Equipment,3842589000.0,3798538000.0,1368985000.0,1394138000.0
17,Total Current Assets,6270001000.0,5695543000.0,6082454000.0,5426892000.0
18,Net Tangible Assets,1884795000.0,1847085000.0,2009983000.0,1823229000.0
19,Net Receivables,749999000.0,689469000.0,624972000.0,606357000.0
20,Long Term Debt,1032984000.0,747320000.0,1045720000.0,1044327000.0
21,Inventory,4538199000.0,4432168000.0,4362547000.0,4168492000.0
22,Accounts Payable,3640639000.0,3421987000.0,3172790000.0,2894582000.0
23,Short Long Term Debt,,,210000.0,350000.0
0,Change To Liabilities,216488000.0,245785000.0,285493000.0,-197168000.0
1,Total Cashflows From Investing Activities,-266897000.0,-462939000.0,-191827000.0,-178639000.0
2,Net Borrowings,244524000.0,-369386000.0,32014000.0,14004000.0
3,Total Cash From Financing Activities,-285997000.0,-882153000.0,-263915000.0,-14872000.0
4,Change To Operating Activities,62938000.0,-57870000.0,29233000.0,-34620000.0
5,Issuance Of Stock,3270000.0,3334000.0,3200000.0,4076000.0
6,Net Income,493021000.0,486896000.0,423847000.0,475505000.0
7,Change In Cash,416327000.0,-477862000.0,349590000.0,411759000.0
8,Repurchase Of Stock,-469691000.0,-498435000.0,-281354000.0,-6498000.0
9,Effect Of Exchange Rate,-467000.0,321000.0,-5696000.0,4465000.0
10,Total Cash From Operating Activities,969688000.0,866909000.0,811028000.0,600805000.0
11,Depreciation,250081000.0,238371000.0,238184000.0,249260000.0
12,Dividends Paid,-56347000.0,-17185000.0,-17819000.0,-17854000.0
13,Change To Inventory,-101449000.0,-63130000.0,-206125000.0,167548000.0
14,Change To Account Receivables,-59014000.0,-62837000.0,-21471000.0,36047000.0
15,Other Cashflows From Financing Activities,-7753000.0,-481000.0,44000.0,-8600000.0
16,Change To Netincome,107623000.0,79694000.0,61867000.0,-95767000.0
17,Capital Expenditures,-267576000.0,-270129000.0,-193715000.0,-189758000.0
18,Other Cashflows From Investing Activities,,,,20000.0
