,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-178000000.0,63000000.0,35000000.0,-93000000.0
Change To Liabilities,-120000000.0,-479000000.0,-263000000.0,589000000.0
Total Cashflows From Investing Activities,-758000000.0,-387000000.0,-439000000.0,-495000000.0
Net Borrowings,-159000000.0,-14000000.0,-847000000.0,-126000000.0
Total Cash From Financing Activities,-311000000.0,993000000.0,-735000000.0,-501000000.0
Change To Operating Activities,-76000000.0,50000000.0,80000000.0,-80000000.0
Net Income,28000000.0,-148000000.0,318000000.0,-333000000.0
Change In Cash,-580000000.0,779000000.0,-554000000.0,274000000.0
Effect Of Exchange Rate,18000000.0,-22000000.0,9000000.0,4000000.0
Total Cash From Operating Activities,351000000.0,253000000.0,668000000.0,1267000000.0
Depreciation,263000000.0,275000000.0,265000000.0,264000000.0
Other Cashflows From Investing Activities,10000000.0,-18000000.0,-18000000.0,24000000.0
Dividends Paid,-100000000.0,-100000000.0,-95000000.0,-96000000.0
Change To Inventory,-7000000.0,14000000.0,-5000000.0,31000000.0
Change To Account Receivables,-41000000.0,-79000000.0,88000000.0,-10000000.0
Other Cashflows From Financing Activities,-50000000.0,90000000.0,207000000.0,-279000000.0
Change To Netincome,651000000.0,712000000.0,188000000.0,677000000.0
Capital Expenditures,-567000000.0,-432000000.0,-525000000.0,-413000000.0
