,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,455600000.0,501700000.0,573100000.0,649000000.0
Capital Surplus,30900000.0,4700000.0,10200000.0,136600000.0
Total Liab,5486200000.0,4852700000.0,4632900000.0,4876400000.0
Total Stockholder Equity,2980000000.0,2853800000.0,2932900000.0,3029600000.0
Minority Interest,38000000.0,53200000.0,60600000.0,65700000.0
Other Current Liab,901400000.0,653300000.0,609700000.0,633300000.0
Total Assets,8504200000.0,7759700000.0,7626400000.0,7971700000.0
Common Stock,800000.0,800000.0,800000.0,800000.0
Other Current Assets,418900000.0,417100000.0,422300000.0,367700000.0
Retained Earnings,4759100000.0,4443500000.0,4477300000.0,4253800000.0
Other Liab,731000000.0,615800000.0,579900000.0,602900000.0
Good Will,1306500000.0,1298300000.0,1495500000.0,1541400000.0
Treasury Stock,-1810800000.0,-1595200000.0,-1555400000.0,-1361600000.0
Other Assets,257400000.0,246800000.0,247300000.0,259300000.0
Cash,1119100000.0,432800000.0,326100000.0,367700000.0
Total Current Liabilities,3362800000.0,2884500000.0,2766700000.0,2650600000.0
Deferred Long Term Asset Charges,77600000.0,93800000.0,104900000.0,112200000.0
Short Long Term Debt,325900000.0,2900000.0,72600000.0,95400000.0
Other Stockholder Equity,-1810800000.0,-1595200000.0,-1555400000.0,-1361600000.0
Property Plant Equipment,1673600000.0,1603600000.0,1373100000.0,1485300000.0
Total Current Assets,4368400000.0,3729100000.0,3537400000.0,3627700000.0
Long Term Investments,442700000.0,380200000.0,400000000.0,409000000.0
Net Tangible Assets,1217900000.0,1053800000.0,864300000.0,839200000.0
Net Receivables,856000000.0,800500000.0,880300000.0,1019400000.0
Long Term Debt,1256700000.0,1191800000.0,1275300000.0,1622900000.0
Inventory,1974400000.0,2078700000.0,1908700000.0,1872900000.0
Accounts Payable,855100000.0,914800000.0,865900000.0,917500000.0
