,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,2447300000.0,2478800000.0,2399900000.0,2195000000.0
Capital Surplus,5887300000.0,4404100000.0,4264400000.0,4132500000.0
Total Liab,19463200000.0,17635000000.0,16098700000.0,15996700000.0
Total Stockholder Equity,8312700000.0,6731100000.0,6186200000.0,5771700000.0
Minority Interest,41300000.0,48400000.0,46500000.0,46500000.0
Other Current Liab,530600000.0,527000000.0,476200000.0,468100000.0
Total Assets,27817200000.0,24414500000.0,22331400000.0,21814900000.0
Common Stock,206800000.0,195900000.0,193700000.0,192300000.0
Other Current Assets,3251600000.0,2900000000.0,3011700000.0,2914500000.0
Retained Earnings,2749100000.0,2658900000.0,2371700000.0,2317300000.0
Other Liab,1418900000.0,1437700000.0,1365900000.0,1273800000.0
Good Will,6630300000.0,6510900000.0,6127000000.0,5832200000.0
Treasury Stock,-530500000.0,-527800000.0,-643600000.0,-870400000.0
Other Assets,1970000000.0,1882900000.0,1833300000.0,1756400000.0
Cash,3204100000.0,526300000.0,664600000.0,629900000.0
Total Current Liabilities,12021300000.0,11516000000.0,10135000000.0,10117200000.0
Deferred Long Term Asset Charges,1126300000.0,1087900000.0,1085800000.0,1049800000.0
Short Long Term Debt,202000000.0,25800000.0,129500000.0,155300000.0
Other Stockholder Equity,-530500000.0,-527800000.0,-643600000.0,-870400000.0
Property Plant Equipment,813200000.0,819400000.0,824600000.0,805100000.0
Total Current Assets,15939300000.0,12667500000.0,11124200000.0,11200300000.0
Long Term Investments,17100000.0,55000000.0,22400000.0,25900000.0
Net Tangible Assets,-764900000.0,-2258600000.0,-2340700000.0,-2255500000.0
Net Receivables,9351500000.0,9122400000.0,7335800000.0,7561700000.0
Long Term Debt,5720400000.0,4366300000.0,4276900000.0,4313200000.0
Accounts Payable,9716700000.0,9205000000.0,7784600000.0,7952900000.0
