,2021-03-26,2020-03-27,2019-03-29,2007-03-30
Change To Liabilities,15099000.0,-3122000.0,-4788000.0,-80000.0
Total Cashflows From Investing Activities,-68245000.0,-41679000.0,-97522000.0,-25927000.0
Net Borrowings,-17281000.0,43000000.0,-10000000.0,-11878000.0
Total Cash From Financing Activities,-72186000.0,82500000.0,-39743000.0,-12956000.0
Change To Operating Activities,-9402000.0,-34514000.0,12416000.0,4587000.0
Issuance Of Stock,321425000.0,9500000.0,257000.0,257000.0
Net Income,17953000.0,36971000.0,84724000.0,21075000.0
Change In Cash,-16001000.0,116619000.0,-17041000.0,9821000.0
Repurchase Of Stock,-27707000.0,-27707000.0,-27707000.0,-27707000.0
Effect Of Exchange Rate,3860000.0,-5621000.0,-864000.0,-141000.0
Total Cash From Operating Activities,120570000.0,81419000.0,121088000.0,48845000.0
Depreciation,48177000.0,63923000.0,59886000.0,20673000.0
Dividends Paid,-400000000.0,-400000000.0,-400000000.0,-1000000.0
Change To Inventory,7641000.0,346000.0,-18598000.0,-1238000.0
Change To Account Receivables,-9303000.0,16441000.0,-21174000.0,1181000.0
Other Cashflows From Financing Activities,51377000.0,30000000.0,-30000000.0,-78000.0
Change To Netincome,50049000.0,1249000.0,8622000.0,2647000.0
Capital Expenditures,-40673000.0,-45615000.0,-98297000.0,-26114000.0
Investments,,,421000.0,421000.0
