,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,50000000.0,69000000.0,59000000.0,
Total Liab,167462000000.0,166228000000.0,165601000000.0,153654000000.0
Total Stockholder Equity,14703000000.0,14416000000.0,13268000000.0,13494000000.0
Deferred Long Term Liab,1912000000.0,1791000000.0,1593000000.0,1329000000.0
Other Current Liab,6000000.0,48000000.0,41000000.0,17000000.0
Total Assets,182165000000.0,180644000000.0,178869000000.0,167148000000.0
Common Stock,21544000000.0,21438000000.0,21345000000.0,21245000000.0
Other Current Assets,2063000000.0,1572000000.0,2002000000.0,1704000000.0
Retained Earnings,-4278000000.0,-4057000000.0,-5489000000.0,-6406000000.0
Other Liab,4728000000.0,4197000000.0,3871000000.0,3332000000.0
Good Will,343000000.0,393000000.0,240000000.0,240000000.0
Treasury Stock,-2563000000.0,-2965000000.0,-2588000000.0,-1345000000.0
Other Assets,118577000000.0,129990000000.0,131762000000.0,124682000000.0
Cash,15621000000.0,3555000000.0,4537000000.0,4252000000.0
Total Current Liabilities,140586000000.0,127808000000.0,117537000000.0,106096000000.0
Deferred Long Term Asset Charges,94000000.0,58000000.0,317000000.0,461000000.0
Other Stockholder Equity,631000000.0,123000000.0,-539000000.0,-235000000.0
Property Plant Equipment,10527000000.0,9678000000.0,8981000000.0,9197000000.0
Total Current Assets,18634000000.0,6075000000.0,7516000000.0,6829000000.0
Long Term Investments,34034000000.0,34439000000.0,30311000000.0,26200000000.0
Net Tangible Assets,14310000000.0,13954000000.0,12969000000.0,13254000000.0
Net Receivables,379000000.0,333000000.0,409000000.0,327000000.0
Long Term Debt,22006000000.0,34027000000.0,44193000000.0,44226000000.0
Accounts Payable,137638000000.0,121287000000.0,106694000000.0,94002000000.0
