,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,41000000.0,46000000.0,50000000.0,54000000.0
Total Liab,162940000000.0,167254000000.0,167462000000.0,171144000000.0
Total Stockholder Equity,15206000000.0,14625000000.0,14703000000.0,14126000000.0
Other Current Liab,4000000.0,6000000.0,6000000.0,17000000.0
Total Assets,180470000000.0,181879000000.0,182165000000.0,185270000000.0
Common Stock,21631000000.0,21566000000.0,21544000000.0,21517000000.0
Other Current Assets,1762000000.0,2491000000.0,2063000000.0,1964000000.0
Retained Earnings,-2726000000.0,-3555000000.0,-4278000000.0,-4893000000.0
Other Liab,5020000000.0,4950000000.0,4728000000.0,4503000000.0
Good Will,343000000.0,343000000.0,343000000.0,343000000.0
Treasury Stock,-3699000000.0,-3386000000.0,-2563000000.0,-2498000000.0
Other Assets,111322000000.0,111525000000.0,118577000000.0,116053000000.0
Cash,13664000000.0,15778000000.0,15621000000.0,19939000000.0
Total Current Liabilities,140551000000.0,141321000000.0,140586000000.0,140783000000.0
Deferred Long Term Asset Charges,889000000.0,263000000.0,94000000.0,104000000.0
Other Stockholder Equity,216000000.0,27000000.0,631000000.0,695000000.0
Property Plant Equipment,11975000000.0,11207000000.0,10527000000.0,10299000000.0
Total Current Assets,18343000000.0,21151000000.0,18634000000.0,24794000000.0
Long Term Investments,38446000000.0,37607000000.0,34034000000.0,33727000000.0
Net Tangible Assets,14822000000.0,14236000000.0,14310000000.0,13729000000.0
Net Receivables,2901000000.0,2864000000.0,379000000.0,2868000000.0
Long Term Debt,16896000000.0,20503000000.0,22006000000.0,25704000000.0
Accounts Payable,139767000000.0,140528000000.0,137638000000.0,136699000000.0
Deferred Long Term Liab,,,1912000000.0,
