,Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
0,Intangible Assets,1036800000.0,1044300000.0,1048800000.0,1035200000.0
1,Capital Surplus,539300000.0,619700000.0,728900000.0,764100000.0
2,Total Liab,4108100000.0,3762700000.0,3900100000.0,3689100000.0
3,Total Stockholder Equity,2609600000.0,2651200000.0,2779700000.0,2848900000.0
4,Minority Interest,1304000000.0,1266700000.0,1209100000.0,1131500000.0
5,Total Assets,8021700000.0,7680600000.0,7888900000.0,7669500000.0
6,Common Stock,600000.0,600000.0,600000.0,600000.0
7,Other Current Assets,1600000.0,1900000.0,3500000.0,2600000.0
8,Retained Earnings,4263400000.0,4154900000.0,4005500000.0,3890100000.0
9,Other Liab,1555400000.0,1249600000.0,967800000.0,1145700000.0
10,Good Will,2669700000.0,2666200000.0,2661400000.0,2638800000.0
11,Treasury Stock,-2193700000.0,-2124000000.0,-1955300000.0,-1805900000.0
12,Other Assets,245500000.0,204400000.0,193400000.0,296100000.0
13,Cash,777900000.0,766200000.0,1039700000.0,929400000.0
14,Total Current Liabilities,20600000.0,31400000.0,444700000.0,14800000.0
15,Short Long Term Debt,1200000.0,1400000.0,1900000.0,2100000.0
16,Other Stockholder Equity,-64800000.0,-73800000.0,-98300000.0,-154900000.0
17,Property Plant Equipment,75800000.0,76100000.0,104000000.0,81600000.0
18,Total Current Assets,1562700000.0,1397400000.0,1549300000.0,1419600000.0
19,Long Term Investments,2431200000.0,2292200000.0,2332000000.0,2198200000.0
20,Net Tangible Assets,-1096900000.0,-1059300000.0,-930500000.0,-825100000.0
21,Short Term Investments,62800000.0,108800000.0,74900000.0,68200000.0
22,Net Receivables,720400000.0,520500000.0,431200000.0,419400000.0
23,Long Term Debt,2299300000.0,2303100000.0,2312100000.0,2310800000.0
24,Other Current Liab,,600000.0,2300000.0,1900000.0
0,Investments,-145200000.0,-23400000.0,-44000000.0,-8800000.0
1,Change To Liabilities,307000000.0,-72600000.0,72500000.0,-59800000.0
2,Total Cashflows From Investing Activities,-146600000.0,-24100000.0,-45700000.0,-11100000.0
3,Net Borrowings,-7800000.0,-15000000.0,-15000000.0,275000000.0
4,Total Cash From Financing Activities,-201100000.0,-440900000.0,-233900000.0,4800000.0
5,Change To Operating Activities,-26200000.0,11200000.0,81600000.0,-22500000.0
6,Net Income,109000000.0,149900000.0,115900000.0,71300000.0
7,Change In Cash,11700000.0,-273500000.0,110300000.0,247800000.0
8,Repurchase Of Stock,-111900000.0,-327800000.0,-184500000.0,-188700000.0
9,Effect Of Exchange Rate,1300000.0,2600000.0,7400000.0,4900000.0
10,Total Cash From Operating Activities,362000000.0,188900000.0,382500000.0,251400000.0
11,Depreciation,13000000.0,11800000.0,96700000.0,-48700000.0
12,Dividends Paid,-400000.0,-500000.0,-500000.0,-500000.0
13,Change To Account Receivables,-206700000.0,-86600000.0,-7900000.0,101500000.0
14,Other Cashflows From Financing Activities,-81000000.0,-97600000.0,-48900000.0,-81000000.0
15,Change To Netincome,162600000.0,199800000.0,28300000.0,213100000.0
16,Capital Expenditures,-1400000.0,-700000.0,-1700000.0,-2300000.0
