,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-22242000000.0,-9131000000.0,1140000000.0,-3054000000.0
Change To Liabilities,18745000000.0,9904000000.0,4414000000.0,7838000000.0
Total Cashflows From Investing Activities,-59611000000.0,-24281000000.0,-12369000000.0,-27084000000.0
Net Borrowings,-1104000000.0,-10066000000.0,-7686000000.0,9928000000.0
Total Cash From Financing Activities,-1104000000.0,-10066000000.0,-7686000000.0,9928000000.0
Change To Operating Activities,5754000000.0,-1383000000.0,472000000.0,283000000.0
Net Income,21331000000.0,11588000000.0,10073000000.0,3033000000.0
Change In Cash,5967000000.0,4237000000.0,10317000000.0,1922000000.0
Effect Of Exchange Rate,618000000.0,70000000.0,-351000000.0,713000000.0
Total Cash From Operating Activities,66064000000.0,38514000000.0,30723000000.0,18365000000.0
Depreciation,25251000000.0,21789000000.0,15341000000.0,11478000000.0
Change To Inventory,-2849000000.0,-3278000000.0,-1314000000.0,-3583000000.0
Change To Account Receivables,-8169000000.0,-7681000000.0,-4615000000.0,-4780000000.0
Change To Netincome,6001000000.0,7575000000.0,6352000000.0,4096000000.0
Capital Expenditures,-40140000000.0,-16861000000.0,-13427000000.0,-11955000000.0
Other Cashflows From Investing Activities,,,2104000000.0,1897000000.0
