Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Capital Surplus,48724000000.0,45160000000.0,42865000000.0,40307000000.0
Total Liab,245516000000.0,219757000000.0,227791000000.0,199404000000.0
Total Stockholder Equity,114803000000.0,103320000000.0,93404000000.0,82775000000.0
Other Current Liab,10695000000.0,10539000000.0,15267000000.0,9251000000.0
Total Assets,360319000000.0,323077000000.0,321195000000.0,282179000000.0
Common Stock,5000000.0,5000000.0,5000000.0,5000000.0
Other Current Assets,265000000.0,299000000.0,233000000.0,239000000.0
Retained Earnings,68436000000.0,60658000000.0,52551000000.0,45329000000.0
Other Liab,21148000000.0,19418000000.0,17017000000.0,15974000000.0
Good Will,15350000000.0,15220000000.0,15017000000.0,14960000000.0
Treasury Stock,-2362000000.0,-2503000000.0,-2017000000.0,-2866000000.0
Other Assets,19973000000.0,18560000000.0,12097000000.0,16150000000.0
Cash,40380000000.0,33834000000.0,42122000000.0,29930000000.0
Total Current Liabilities,117792000000.0,115404000000.0,126385000000.0,101912000000.0
Short Long Term Debt,1290000000.0,1156000000.0,1155000000.0,155000000.0
Other Stockholder Equity,-525000000.0,-666000000.0,-180000000.0,-1029000000.0
Property Plant Equipment,176848000000.0,160789000000.0,150667000000.0,134100000000.0
Total Current Assets,140848000000.0,121408000000.0,132733000000.0,112969000000.0
Long Term Investments,7300000000.0,7100000000.0,5700000000.0,4000000000.0
Net Tangible Assets,99453000000.0,88100000000.0,73406000000.0,67815000000.0
Short Term Investments,49514000000.0,39436000000.0,42274000000.0,38472000000.0
Net Receivables,26570000000.0,23990000000.0,24309000000.0,20593000000.0
Long Term Debt,50279000000.0,31868000000.0,31816000000.0,32929000000.0
Inventory,24119000000.0,23849000000.0,23795000000.0,23735000000.0
Accounts Payable,66090000000.0,63926000000.0,72539000000.0,58334000000.0
Intangible Assets,,,4981000000.0,
Investments,-8772000000.0,3151000000.0,-3463000000.0,-4333000000.0
Change To Liabilities,203000000.0,-7366000000.0,13582000000.0,3736000000.0
Total Cashflows From Investing Activities,-22080000000.0,-8666000000.0,-17037000000.0,-15876000000.0
Net Borrowings,15643000000.0,-3476000000.0,-1816000000.0,-4105000000.0
Total Cash From Financing Activities,15643000000.0,-3476000000.0,-1816000000.0,-4105000000.0
Change To Operating Activities,-1685000000.0,-4060000000.0,7129000000.0,-310000000.0
Net Income,7778000000.0,8107000000.0,7222000000.0,6331000000.0
Change In Cash,6512000000.0,-8222000000.0,12175000000.0,-7640000000.0
Effect Of Exchange Rate,234000000.0,-293000000.0,597000000.0,377000000.0
Total Cash From Operating Activities,12715000000.0,4213000000.0,30431000000.0,11964000000.0
Depreciation,8038000000.0,7508000000.0,7618000000.0,6523000000.0
Change To Inventory,-209000000.0,-304000000.0,329000000.0,-3899000000.0
Change To Account Receivables,-4462000000.0,-2255000000.0,-4561000000.0,-2016000000.0
Change To Netincome,3052000000.0,2583000000.0,-888000000.0,1599000000.0
Capital Expenditures,-14288000000.0,-12082000000.0,-14823000000.0,-11063000000.0
