,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,55400000.0,55400000.0,-50000000.0,-50000000.0
Change To Liabilities,47700000.0,-17600000.0,1700000.0,500000.0
Total Cashflows From Investing Activities,-73700000.0,-115800000.0,-295300000.0,-227000000.0
Net Borrowings,-273100000.0,-625300000.0,-150000000.0,102400000.0
Total Cash From Financing Activities,-606700000.0,-660300000.0,-237400000.0,-307400000.0
Change To Operating Activities,-430500000.0,-213200000.0,132500000.0,37700000.0
Issuance Of Stock,52700000.0,12700000.0,17800000.0,39700000.0
Net Income,381600000.0,450000000.0,396000000.0,434600000.0
Change In Cash,527200000.0,-6900000.0,-21700000.0,5700000.0
Repurchase Of Stock,-375300000.0,-47700000.0,-102700000.0,-436000000.0
Total Cash From Operating Activities,1207600000.0,769200000.0,511000000.0,540100000.0
Depreciation,195000000.0,180500000.0,166200000.0,158600000.0
Other Cashflows From Investing Activities,1900000.0,4600000.0,28400000.0,-400000.0
Change To Inventory,703600000.0,296000000.0,-319500000.0,39300000.0
Change To Account Receivables,70000000.0,56200000.0,133700000.0,-61600000.0
Other Cashflows From Financing Activities,-11000000.0,-11000000.0,-2500000.0,-13500000.0
Change To Netincome,235500000.0,12100000.0,-5000000.0,-74600000.0
Capital Expenditures,-156000000.0,-269300000.0,-400800000.0,-313400000.0
