Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,564000000.0,594000000.0,640000000.0,665000000.0
Capital Surplus,6381000000.0,6348000000.0,6312000000.0,6216000000.0
Total Liab,30013000000.0,27814000000.0,28531000000.0,27739000000.0
Total Stockholder Equity,4462000000.0,4260000000.0,3495000000.0,3542000000.0
Minority Interest,105000000.0,101000000.0,88000000.0,78000000.0
Deferred Long Term Liab,175000000.0,185000000.0,184000000.0,176000000.0
Other Current Liab,16994000000.0,14973000000.0,14735000000.0,14566000000.0
Total Assets,34580000000.0,32175000000.0,32114000000.0,31359000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Other Current Assets,16238000000.0,14325000000.0,14318000000.0,13927000000.0
Retained Earnings,1823000000.0,1801000000.0,1042000000.0,1423000000.0
Other Liab,2918000000.0,2815000000.0,2855000000.0,2636000000.0
Good Will,8659000000.0,8587000000.0,8666000000.0,8462000000.0
Treasury Stock,-3744000000.0,-3891000000.0,-3861000000.0,-4099000000.0
Other Assets,2479000000.0,2482000000.0,2451000000.0,2306000000.0
Cash,1045300000.0,781900000.0,824700000.0,778200000.0
Total Current Liabilities,18927000000.0,16823000000.0,17433000000.0,16870000000.0
Deferred Long Term Asset Charges,738000000.0,721000000.0,724000000.0,655000000.0
Other Stockholder Equity,-3744000000.0,-3891000000.0,-3861000000.0,-4099000000.0
Property Plant Equipment,1524000000.0,1533000000.0,1599000000.0,1618000000.0
Total Current Assets,21276000000.0,18905000000.0,18684000000.0,18249000000.0
Long Term Investments,78000000.0,74000000.0,74000000.0,59000000.0
Net Tangible Assets,-4761000000.0,-4921000000.0,-5811000000.0,-5585000000.0
Short Term Investments,226700000.0,109100000.0,265300000.0,390800000.0
Net Receivables,3630000000.0,3571000000.0,3165000000.0,3037000000.0
Long Term Debt,7272000000.0,7263000000.0,7281000000.0,7251000000.0
Accounts Payable,1692000000.0,1628000000.0,2016000000.0,1608000000.0
Short Long Term Debt,,,400000000.0,400000000.0
Investments,-97000000.0,131000000.0,158000000.0,158000000.0
Change To Liabilities,61000000.0,-356000000.0,377000000.0,0.0
Total Cashflows From Investing Activities,-129000000.0,102000000.0,136000000.0,136000000.0
Net Borrowings,13000000.0,-400000000.0,-25000000.0,-25000000.0
Total Cash From Financing Activities,-413000000.0,-709000000.0,-942000000.0,-942000000.0
Change To Operating Activities,124000000.0,96000000.0,-217000000.0,-217000000.0
Net Income,379000000.0,913000000.0,524000000.0,275000000.0
Change In Cash,269000000.0,-62000000.0,63000000.0,63000000.0
Repurchase Of Stock,-242000000.0,-50000000.0,-800000000.0,-800000000.0
Effect Of Exchange Rate,27000000.0,-16000000.0,109000000.0,109000000.0
Total Cash From Operating Activities,784000000.0,561000000.0,760000000.0,760000000.0
Depreciation,77000000.0,81000000.0,84000000.0,84000000.0
Dividends Paid,-115000000.0,-104000000.0,-105000000.0,-105000000.0
Change To Account Receivables,8000000.0,-485000000.0,-85000000.0,-85000000.0
Other Cashflows From Financing Activities,-69000000.0,-155000000.0,-12000000.0,-12000000.0
Change To Netincome,194000000.0,170000000.0,128000000.0,128000000.0
Capital Expenditures,-41000000.0,-29000000.0,-22000000.0,-22000000.0
