Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,595454000.0,550408000.0,462324000.0,450954000.0
Capital Surplus,14194023000.0,12994748000.0,11730970000.0,10711119000.0
Total Liab,10837033000.0,10452384000.0,9384100000.0,9575551000.0
Total Stockholder Equity,14191022000.0,12990406000.0,11725712000.0,10701814000.0
Minority Interest,1990795000.0,1791556000.0,1718066000.0,1633306000.0
Deferred Long Term Liab,342710000.0,317242000.0,296797000.0,277104000.0
Other Current Liab,170647000.0,160779000.0,150982000.0,143040000.0
Total Assets,27018850000.0,25234346000.0,22827878000.0,21910671000.0
Common Stock,1507000.0,1457000.0,1367000.0,1333000.0
Other Current Assets,204300000.0,221360000.0,110701000.0,148305000.0
Other Liab,1147907000.0,1085317000.0,1039061000.0,965015000.0
Treasury Stock,-4508000.0,-5799000.0,-6625000.0,-10638000.0
Other Assets,1314651000.0,1145230000.0,1097468000.0,926968000.0
Cash,323876000.0,492184000.0,568532000.0,446255000.0
Total Current Liabilities,488427000.0,498153000.0,458326000.0,467535000.0
Short Long Term Debt,1731000.0,2555000.0,3420000.0,1677000.0
Other Stockholder Equity,-4508000.0,-5799000.0,-6625000.0,-10638000.0
Property Plant Equipment,21392051000.0,20055708000.0,17874042000.0,17509151000.0
Total Current Assets,1393789000.0,1515261000.0,1450581000.0,1361861000.0
Long Term Investments,2322905000.0,1967739000.0,1943463000.0,1661737000.0
Net Tangible Assets,13595568000.0,12439998000.0,11263388000.0,10250860000.0
Net Receivables,865613000.0,801717000.0,771348000.0,767301000.0
Long Term Debt,8839268000.0,8538363000.0,7559866000.0,7821494000.0
Accounts Payable,305575000.0,320322000.0,285021000.0,318280000.0
Investments,-51908000.0,-28818000.0,-20963000.0,-5626000.0
Change To Liabilities,-18477000.0,9759000.0,-30998000.0,36726000.0
Total Cashflows From Investing Activities,-1698577000.0,-2437880000.0,-413145000.0,-1467956000.0
Net Borrowings,299173000.0,978293000.0,-262228000.0,306466000.0
Total Cash From Financing Activities,1281828000.0,2162254000.0,351575000.0,1395812000.0
Change To Operating Activities,-14329000.0,-49134000.0,-30690000.0,-17566000.0
Issuance Of Stock,868815000.0,1397649000.0,502289000.0,1309235000.0
Net Income,385084000.0,8121000.0,441484000.0,81056000.0
Change In Cash,-176830000.0,-63302000.0,112662000.0,243503000.0
Repurchase Of Stock,-6496000.0,-1678000.0,-5091000.0,-9341000.0
Effect Of Exchange Rate,158000.0,271000.0,663000.0,363000.0
Total Cash From Operating Activities,239761000.0,212053000.0,173569000.0,315284000.0
Depreciation,176785000.0,168801000.0,164236000.0,162852000.0
Other Cashflows From Investing Activities,-33671000.0,-98303000.0,14449000.0,-25760000.0
Dividends Paid,-160778000.0,-150982000.0,-143040000.0,-133681000.0
Change To Account Receivables,848000.0,-221000.0,318000.0,-414000.0
Other Cashflows From Financing Activities,281114000.0,-61028000.0,259645000.0,-76867000.0
Change To Netincome,-293009000.0,71910000.0,-373686000.0,50025000.0
