,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,21035000.0,30669000.0,-14700000.0,6528000.0
Total Cashflows From Investing Activities,-136764000.0,-16796000.0,-18419000.0,-33160000.0
Net Borrowings,1152320000.0,2141127000.0,1736945000.0,1820398000.0
Total Cash From Financing Activities,943895000.0,2122330000.0,1405295000.0,1654877000.0
Change To Operating Activities,63989000.0,-309907000.0,299620000.0,-10488000.0
Issuance Of Stock,476031000.0,297216000.0,106283000.0,1036000.0
Net Income,152142000.0,148884000.0,57020000.0,76178000.0
Change In Cash,401428000.0,28137000.0,-8682000.0,-223932000.0
Repurchase Of Stock,-95368000.0,-44003000.0,-18014000.0,-14308000.0
Effect Of Exchange Rate,19956000.0,5624000.0,21500000.0,17365000.0
Total Cash From Operating Activities,-425659000.0,-2083021000.0,-1417058000.0,-1863014000.0
Depreciation,41248000.0,19459000.0,28517000.0,32809000.0
Dividends Paid,-253146000.0,-170368000.0,-156549000.0,-114287000.0
Change To Account Receivables,-24351000.0,-103962000.0,29578000.0,-90444000.0
Other Cashflows From Financing Activities,-335942000.0,-101642000.0,-263370000.0,-37962000.0
Change To Netincome,-679722000.0,-1868164000.0,-1834099000.0,-1885709000.0
Capital Expenditures,-15942000.0,-16796000.0,-18419000.0,-33160000.0
