,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,19375000.0,49764000.0,1479000.0,857000.0
Total Cashflows From Investing Activities,-73172000.0,-63916000.0,-74086000.0,-60765000.0
Net Borrowings,5127000.0,-53445000.0,-41148000.0,-114632000.0
Total Cash From Financing Activities,-398000.0,-45015000.0,-46989000.0,-118074000.0
Change To Operating Activities,-6960000.0,-19711000.0,12323000.0,1274000.0
Issuance Of Stock,21167000.0,31871000.0,17457000.0,21040000.0
Net Income,55276000.0,83952000.0,53232000.0,63716000.0
Change In Cash,31810000.0,-45285000.0,73591000.0,-26015000.0
Effect Of Exchange Rate,1984000.0,-8539000.0,5940000.0,-917000.0
Total Cash From Operating Activities,103396000.0,72185000.0,188726000.0,153741000.0
Depreciation,57790000.0,57438000.0,57886000.0,55179000.0
Other Cashflows From Investing Activities,564000.0,-593000.0,-95000.0,-1000.0
Dividends Paid,-24974000.0,-23441000.0,-23298000.0,-23217000.0
Change To Inventory,-29445000.0,-26428000.0,9785000.0,17178000.0
Change To Account Receivables,-6541000.0,-70194000.0,45326000.0,-6246000.0
Other Cashflows From Financing Activities,-1718000.0,-1718000.0,-1718000.0,-1265000.0
Change To Netincome,16041000.0,485000.0,9921000.0,18202000.0
Capital Expenditures,-73155000.0,-63884000.0,-72589000.0,-50379000.0
Investments,,243000.0,-1416000.0,-4411000.0
