Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,4372000000.0,3932200000.0,4048800000.0,4041700000.0
Total Liab,8263800000.0,6932700000.0,7232200000.0,7386100000.0
Total Stockholder Equity,1982200000.0,1802400000.0,1670600000.0,1548600000.0
Other Current Liab,390900000.0,340200000.0,275000000.0,302400000.0
Total Assets,11249700000.0,9738800000.0,9906500000.0,9938400000.0
Common Stock,1747700000.0,1743200000.0,1737600000.0,1743600000.0
Other Current Assets,90000000.0,80300000.0,91400000.0,159600000.0
Retained Earnings,233100000.0,75300000.0,-88700000.0,-140300000.0
Other Liab,1274600000.0,1085700000.0,1023800000.0,1193600000.0
Good Will,3557800000.0,2820100000.0,2860200000.0,2808800000.0
Treasury Stock,1400000.0,-16100000.0,21700000.0,-54700000.0
Other Assets,244600000.0,217100000.0,91300000.0,238600000.0
Cash,223000000.0,172500000.0,286600000.0,370500000.0
Total Current Liabilities,1377700000.0,1240700000.0,1242700000.0,1136000000.0
Short Long Term Debt,39500000.0,26500000.0,22800000.0,14400000.0
Other Stockholder Equity,1400000.0,-16100000.0,21700000.0,-54700000.0
Property Plant Equipment,652600000.0,537400000.0,675300000.0,552500000.0
Total Current Assets,2422700000.0,2232000000.0,2230900000.0,2296800000.0
Net Tangible Assets,-5947600000.0,-4949900000.0,-5238400000.0,-5301900000.0
Net Receivables,1268800000.0,1201500000.0,1113300000.0,1036900000.0
Long Term Debt,5539100000.0,4534600000.0,4799600000.0,4985500000.0
Inventory,840900000.0,777700000.0,739600000.0,729800000.0
Accounts Payable,755300000.0,706400000.0,678900000.0,625300000.0
Deferred Long Term Asset Charges,,,10500000.0,
Change To Liabilities,32800000.0,30300000.0,42800000.0,36700000.0
Total Cashflows From Investing Activities,-1189300000.0,-14600000.0,-18800000.0,-15900000.0
Net Borrowings,1027100000.0,-208600000.0,-252800000.0,-102400000.0
Total Cash From Financing Activities,998800000.0,-221000000.0,-380400000.0,-316100000.0
Change To Operating Activities,13600000.0,-23600000.0,16400000.0,31000000.0
Issuance Of Stock,17600000.0,19900000.0,6400000.0,400000.0
Net Income,157800000.0,164000000.0,51600000.0,-42200000.0
Change In Cash,74200000.0,-114100000.0,-83900000.0,-44800000.0
Repurchase Of Stock,-9600000.0,-16200000.0,-16200000.0,-16200000.0
Effect Of Exchange Rate,900000.0,-5400000.0,9300000.0,5700000.0
Total Cash From Operating Activities,263800000.0,126900000.0,306000000.0,281500000.0
Depreciation,86100000.0,89000000.0,102000000.0,99100000.0
Other Cashflows From Investing Activities,800000.0,500000.0,1400000.0,-600000.0
Dividends Paid,-16200000.0,-16100000.0,-16200000.0,-16100000.0
Change To Inventory,-48700000.0,-54300000.0,-36200000.0,12900000.0
Change To Account Receivables,-15200000.0,-106800000.0,-51800000.0,-34500000.0
Other Cashflows From Financing Activities,-20100000.0,-20100000.0,-117800000.0,-198000000.0
Change To Netincome,33700000.0,24400000.0,176800000.0,172600000.0
Capital Expenditures,-23400000.0,-15100000.0,-20200000.0,-15300000.0
