,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,1098400000.0,1148800000.0,1148600000.0,1158100000.0
Capital Surplus,1490500000.0,1487100000.0,1484100000.0,1479500000.0
Total Liab,5615000000.0,5677400000.0,5651800000.0,5410000000.0
Total Stockholder Equity,1359400000.0,1433000000.0,1339700000.0,1213100000.0
Minority Interest,46400000.0,46800000.0,45000000.0,45500000.0
Other Current Liab,100000.0,76500000.0,,
Total Assets,7020800000.0,7157200000.0,7036500000.0,6668600000.0
Common Stock,251200000.0,250900000.0,250600000.0,250500000.0
Other Current Assets,21400000.0,19800000.0,17300000.0,17400000.0
Retained Earnings,578500000.0,563300000.0,493600000.0,411100000.0
Other Liab,592000000.0,551300000.0,537900000.0,523600000.0
Good Will,1257200000.0,1294900000.0,1245800000.0,1209300000.0
Treasury Stock,-960800000.0,-868300000.0,-888600000.0,-928000000.0
Other Assets,610000000.0,489300000.0,625900000.0,662100000.0
Cash,1266900000.0,1360900000.0,1341300000.0,1123600000.0
Total Current Liabilities,1190100000.0,1180900000.0,1065200000.0,860900000.0
Short Long Term Debt,54500000.0,52000000.0,54900000.0,54300000.0
Other Stockholder Equity,-453600000.0,-424800000.0,-470200000.0,-509600000.0
Property Plant Equipment,1163600000.0,1295800000.0,1165200000.0,1158200000.0
Total Current Assets,2890800000.0,2925900000.0,2850300000.0,2480200000.0
Long Term Investments,800000.0,2500000.0,700000.0,700000.0
Net Tangible Assets,-996200000.0,-1010700000.0,-1054700000.0,-1154300000.0
Net Receivables,940400000.0,907000000.0,862700000.0,700200000.0
Long Term Debt,3832900000.0,3808800000.0,4048700000.0,4025500000.0
Inventory,582200000.0,559900000.0,536700000.0,539300000.0
Accounts Payable,565000000.0,564400000.0,482900000.0,331900000.0
Deferred Long Term Asset Charges,,223600000.0,,
