,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-217000.0,-760000.0,168000.0,-334000.0
Change To Liabilities,9969000.0,6672000.0,2542000.0,-2651000.0
Total Cashflows From Investing Activities,-955000.0,-1300000.0,-16209000.0,-1317000.0
Net Borrowings,-4000000.0,-4000000.0,-123182000.0,-4000000.0
Total Cash From Financing Activities,-39741000.0,2782000.0,-122615000.0,-5560000.0
Change To Operating Activities,-9168000.0,-9422000.0,-593000.0,-4279000.0
Issuance Of Stock,13588000.0,9394000.0,2846000.0,268000.0
Net Income,95445000.0,62495000.0,129152000.0,32711000.0
Change In Cash,62754000.0,99610000.0,-100109000.0,29802000.0
Repurchase Of Stock,-48100000.0,-2612000.0,-2279000.0,-1828000.0
Effect Of Exchange Rate,265000.0,-531000.0,876000.0,228000.0
Total Cash From Operating Activities,103185000.0,98659000.0,37839000.0,36451000.0
Depreciation,2012000.0,2688000.0,2523000.0,2334000.0
Change To Account Receivables,-16446000.0,15578000.0,-109878000.0,-5123000.0
Other Cashflows From Financing Activities,-1229000.0,-1229000.0,-1229000.0,-1229000.0
Change To Netincome,20673000.0,20648000.0,14093000.0,13459000.0
Capital Expenditures,-504000.0,-211000.0,-345000.0,-177000.0
