,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,143000000.0,-212000000.0,60000000.0,11000000.0
Total Cashflows From Investing Activities,-1179000000.0,-1100000000.0,-916000000.0,-1292000000.0
Net Borrowings,478000000.0,1883000000.0,1883000000.0,665000000.0
Total Cash From Financing Activities,-345000000.0,498000000.0,-2603000000.0,93000000.0
Change To Operating Activities,-127000000.0,-152000000.0,-99000000.0,-227000000.0
Issuance Of Stock,202000000.0,356000000.0,258000000.0,347000000.0
Net Income,1102000000.0,1001000000.0,1546000000.0,602000000.0
Change In Cash,401000000.0,1497000000.0,-1565000000.0,617000000.0
Repurchase Of Stock,-500000000.0,-1270000000.0,-2452000000.0,-564000000.0
Effect Of Exchange Rate,57000000.0,-5000000.0,-63000000.0,102000000.0
Total Cash From Operating Activities,1868000000.0,2104000000.0,2017000000.0,1714000000.0
Depreciation,823000000.0,784000000.0,762000000.0,740000000.0
Other Cashflows From Investing Activities,24000000.0,14000000.0,11000000.0,10000000.0
Dividends Paid,-473000000.0,-423000000.0,-376000000.0,-315000000.0
Change To Inventory,-162000000.0,4000000.0,-197000000.0,76000000.0
Change To Account Receivables,-126000000.0,-65000000.0,-12000000.0,30000000.0
Other Cashflows From Financing Activities,-52000000.0,-48000000.0,-33000000.0,-40000000.0
Change To Netincome,215000000.0,744000000.0,-43000000.0,482000000.0
Capital Expenditures,-709000000.0,-696000000.0,-659000000.0,-616000000.0
