Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,4911000000.0,5448000000.0,5717000000.0,6286000000.0
Capital Surplus,13878000000.0,12908000000.0,12473000000.0,12432000000.0
Total Liab,229781000000.0,211022000000.0,191811000000.0,209612000000.0
Total Stockholder Equity,18023000000.0,16172000000.0,14418000000.0,14515000000.0
Minority Interest,65000000.0,65000000.0,65000000.0,65000000.0
Other Current Liab,9520000000.0,6455000000.0,3734000000.0,4179000000.0
Total Assets,247869000000.0,227259000000.0,206294000000.0,224192000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,2447000000.0,2144000000.0,3013000000.0,1972000000.0
Retained Earnings,-534000000.0,585000000.0,1346000000.0,406000000.0
Other Liab,211373000000.0,195481000000.0,178438000000.0,196815000000.0
Treasury Stock,4678000000.0,2678000000.0,598000000.0,1676000000.0
Other Assets,129870000000.0,125032000000.0,114259000000.0,131439000000.0
Cash,4108000000.0,2877000000.0,4145000000.0,1857000000.0
Total Current Liabilities,14974000000.0,11176000000.0,9410000000.0,9185000000.0
Short Long Term Debt,202000000.0,330000000.0,619000000.0,837000000.0
Other Stockholder Equity,5716000000.0,3240000000.0,716000000.0,1676000000.0
Total Current Assets,27633000000.0,23206000000.0,21254000000.0,19200000000.0
Long Term Investments,85455000000.0,73573000000.0,65064000000.0,67267000000.0
Net Tangible Assets,18023000000.0,16172000000.0,14418000000.0,14515000000.0
Short Term Investments,3242000000.0,1958000000.0,,312000000.0
Net Receivables,15742000000.0,14449000000.0,13379000000.0,13947000000.0
Long Term Debt,3434000000.0,4365000000.0,3963000000.0,3612000000.0
Investments,-7572000000.0,-4837000000.0,-392000000.0,-633000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-5843000000.0,-7341000000.0,-4538000000.0,-3915000000.0
Net Borrowings,-937000000.0,398000000.0,366000000.0,778000000.0
Total Cash From Financing Activities,6186000000.0,4245000000.0,3764000000.0,-2852000000.0
Change To Operating Activities,5997000000.0,3728000000.0,4127000000.0,3646000000.0
Net Income,-1061000000.0,-740000000.0,865000000.0,-378000000.0
Change In Cash,1231000000.0,-1268000000.0,2288000000.0,-3371000000.0
Repurchase Of Stock,-473000000.0,-442000000.0,-105000000.0,-668000000.0
Total Cash From Operating Activities,888000000.0,1828000000.0,3062000000.0,3396000000.0
Other Cashflows From Investing Activities,1869000000.0,-561000000.0,-1156000000.0,-1977000000.0
Dividends Paid,-44000000.0,-21000000.0,-21000000.0,-1798000000.0
Change To Account Receivables,-1346000000.0,-629000000.0,-207000000.0,197000000.0
Other Cashflows From Financing Activities,6692000000.0,3885000000.0,3503000000.0,-1457000000.0
Change To Netincome,-2459000000.0,-215000000.0,-2805000000.0,48000000.0
Issuance Of Stock,,,,293000000.0
