,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,1725000000.0,1762000000.0,1812000000.0,1838000000.0
Capital Surplus,6059000000.0,5965000000.0,5851000000.0,5779000000.0
Total Liab,19082000000.0,18891000000.0,16981000000.0,17232000000.0
Total Stockholder Equity,4799000000.0,4764000000.0,4893000000.0,4913000000.0
Other Current Liab,2024000000.0,756000000.0,631000000.0,611000000.0
Total Assets,23881000000.0,23655000000.0,21874000000.0,22145000000.0
Other Current Assets,435000000.0,557000000.0,249000000.0,30000000.0
Retained Earnings,23066000000.0,23233000000.0,23288000000.0,23453000000.0
Other Liab,2053000000.0,2162000000.0,2161000000.0,2034000000.0
Good Will,1886000000.0,1882000000.0,1895000000.0,1865000000.0
Treasury Stock,-24326000000.0,-24434000000.0,-24246000000.0,-24319000000.0
Other Assets,957000000.0,901000000.0,917000000.0,875000000.0
Cash,11231000000.0,12151000000.0,10562000000.0,11197000000.0
Total Current Liabilities,6724000000.0,6468000000.0,3425000000.0,3968000000.0
Short Long Term Debt,2180000000.0,3905000000.0,985000000.0,979000000.0
Other Stockholder Equity,-43000000.0,-160000000.0,-118000000.0,-196000000.0
Property Plant Equipment,1205000000.0,1214000000.0,1285000000.0,1312000000.0
Total Current Assets,13789000000.0,14108000000.0,12206000000.0,12583000000.0
Long Term Investments,4319000000.0,3788000000.0,3759000000.0,3672000000.0
Net Tangible Assets,1188000000.0,1120000000.0,1186000000.0,1210000000.0
Short Term Investments,501000000.0,500000000.0,501000000.0,
Net Receivables,1290000000.0,614000000.0,557000000.0,886000000.0
Long Term Debt,9991000000.0,9930000000.0,11029000000.0,10829000000.0
Accounts Payable,1028000000.0,570000000.0,735000000.0,1114000000.0
Deferred Long Term Asset Charges,,,455000000.0,
