,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,214608000.0,327157000.0,394103000.0,281525000.0
Capital Surplus,1368062000.0,1350995000.0,1334030000.0,1035895000.0
Total Liab,41379527000.0,37308102000.0,33577459000.0,28753826000.0
Total Stockholder Equity,5266266000.0,4855795000.0,4432109000.0,3495367000.0
Minority Interest,25295000.0,8124000.0,10936000.0,22967000.0
Other Current Liab,257627000.0,182547000.0,156370000.0,338745000.0
Total Assets,46671088000.0,42172021000.0,38020504000.0,32272160000.0
Common Stock,5000.0,5000.0,5000.0,4000.0
Other Current Assets,252316000.0,182271000.0,149221000.0,221378000.0
Retained Earnings,3973675000.0,3729778000.0,3369654000.0,3048487000.0
Other Liab,205281000.0,372230000.0,183480000.0,162381000.0
Good Will,1048091000.0,1048091000.0,1049263000.0,447430000.0
Treasury Stock,-75476000.0,-224983000.0,-271580000.0,-589019000.0
Other Assets,24096247000.0,22938654000.0,22622219000.0,17903738000.0
Cash,1180573000.0,1258821000.0,1143424000.0,2317054000.0
Total Current Liabilities,38839128000.0,32148311000.0,27009228000.0,23331818000.0
Other Stockholder Equity,335868000.0,104923000.0,-72585000.0,-36174000.0
Property Plant Equipment,551308000.0,535519000.0,330033000.0,317335000.0
Total Current Assets,7350344000.0,4660962000.0,4129344000.0,3768924000.0
Long Term Investments,13410490000.0,12661638000.0,9495542000.0,9553208000.0
Net Tangible Assets,4104739000.0,3682433000.0,3247997000.0,3019279000.0
Net Receivables,308266000.0,1252215000.0,541360000.0,518877000.0
Long Term Debt,2139475000.0,4787561000.0,6384751000.0,5259627000.0
Inventory,90526000.0,20359000.0,17487000.0,28437000.0
Accounts Payable,36143880000.0,27621168000.0,25263763000.0,22061305000.0
