,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-1448758000.0,-2132341000.0,33547000.0,383925000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-2458835000.0,-2323737000.0,-1807631000.0,739556000.0
Net Borrowings,-5091026000.0,1110970000.0,1295484000.0,-10909000.0
Total Cash From Financing Activities,2796843000.0,2912813000.0,1186007000.0,-1174930000.0
Change To Operating Activities,955721000.0,-629450000.0,-155376000.0,516749000.0
Issuance Of Stock,675000.0,1421000.0,2782000.0,5758000.0
Net Income,435030000.0,500758000.0,445646000.0,334644000.0
Change In Cash,-78248000.0,115397000.0,-1173630000.0,-220443000.0
Repurchase Of Stock,-81438000.0,-130911000.0,-56335000.0,-8793000.0
Total Cash From Operating Activities,-416256000.0,-473679000.0,-552006000.0,214931000.0
Depreciation,99013000.0,95416000.0,60843000.0,54466000.0
Other Cashflows From Investing Activities,161674000.0,175081000.0,-57073000.0,410617000.0
Dividends Paid,-144437000.0,-143496000.0,-127188000.0,-116041000.0
Other Cashflows From Financing Activities,8113069000.0,2074829000.0,71264000.0,-1044945000.0
Change To Netincome,197911000.0,42604000.0,119978000.0,113276000.0
Capital Expenditures,-141134000.0,-384639000.0,-345082000.0,-250783000.0
