,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-11182593000.0,-3061267000.0,-1997930000.0,-4453860000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-13068146000.0,-4169852000.0,-4390667000.0,-5351738000.0
Net Borrowings,46858000.0,-225295000.0,-487705000.0,-34104000.0
Total Cash From Financing Activities,12492145000.0,3455557000.0,3533786000.0,4753687000.0
Change To Operating Activities,-176000.0,-161828000.0,32228000.0,-49385000.0
Issuance Of Stock,9093000.0,8719000.0,7268000.0,7016000.0
Net Income,506622000.0,671135000.0,618158000.0,107681000.0
Change In Cash,102771000.0,-8928000.0,-9378000.0,38433000.0
Repurchase Of Stock,-504172000.0,-256012000.0,-127465000.0,-77420000.0
Total Cash From Operating Activities,678772000.0,705367000.0,847503000.0,636484000.0
Depreciation,64849000.0,67437000.0,62626000.0,57742000.0
Other Cashflows From Investing Activities,77887000.0,109086000.0,100506000.0,88861000.0
Dividends Paid,-133645000.0,-115810000.0,-105441000.0,-95910000.0
Other Cashflows From Financing Activities,13102028000.0,4043955000.0,4247129000.0,4954105000.0
Change To Netincome,-350900000.0,-323977000.0,-373244000.0,93140000.0
Capital Expenditures,-60073000.0,-75665000.0,-80549000.0,-62697000.0
