,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
0,Intangible Assets,1096000000.0,402000000.0,439000000.0,492700000.0
1,Capital Surplus,2614000000.0,1145000000.0,1146000000.0,1118700000.0
2,Total Liab,9305000000.0,4858000000.0,5750000000.0,5961700000.0
3,Total Stockholder Equity,6428000000.0,4706000000.0,4226000000.0,3716800000.0
4,Minority Interest,296000000.0,138000000.0,119000000.0,109100000.0
5,Other Current Liab,897000000.0,340000000.0,363000000.0,388300000.0
6,Total Assets,16029000000.0,9702000000.0,10095000000.0,9787600000.0
7,Common Stock,3000000.0,3000000.0,3000000.0,2500000.0
8,Other Current Assets,199000000.0,160000000.0,173000000.0,179800000.0
9,Retained Earnings,6296000000.0,5942000000.0,5336000000.0,4531000000.0
10,Other Liab,1585000000.0,788000000.0,1410000000.0,1432800000.0
11,Good Will,2627000000.0,1842000000.0,1853000000.0,1881800000.0
12,Treasury Stock,-2485000000.0,-2384000000.0,-2259000000.0,-1935400000.0
13,Other Assets,568000000.0,296000000.0,842000000.0,766500000.0
14,Cash,1650000000.0,832000000.0,739000000.0,545300000.0
15,Total Current Liabilities,3810000000.0,2329000000.0,2399000000.0,2425200000.0
16,Deferred Long Term Asset Charges,291000000.0,79000000.0,198000000.0,121200000.0
17,Short Long Term Debt,2000000.0,252000000.0,140000000.0,15800000.0
18,Other Stockholder Equity,-651000000.0,-727000000.0,-674000000.0,-490000000.0
19,Property Plant Equipment,4802000000.0,3010000000.0,2904000000.0,2863800000.0
20,Total Current Assets,6167000000.0,3836000000.0,3805000000.0,3543200000.0
21,Long Term Investments,769000000.0,316000000.0,252000000.0,239600000.0
22,Net Tangible Assets,2705000000.0,2462000000.0,1934000000.0,1342300000.0
23,Net Receivables,2935000000.0,1931000000.0,2028000000.0,2046500000.0
24,Long Term Debt,3726000000.0,1674000000.0,1941000000.0,2103700000.0
25,Inventory,1286000000.0,807000000.0,781000000.0,766300000.0
26,Accounts Payable,2352000000.0,1325000000.0,1485000000.0,1545600000.0
0,Investments,-2000000.0,-53000000.0,-6000000.0,-3000000.0
1,Change To Liabilities,186000000.0,-123000000.0,-76000000.0,233000000.0
2,Total Cashflows From Investing Activities,-866000000.0,-489000000.0,-514000000.0,-752000000.0
3,Net Borrowings,855000000.0,-141000000.0,-41000000.0,-105000000.0
4,Total Cash From Financing Activities,437000000.0,-420000000.0,-383000000.0,-363000000.0
5,Change To Operating Activities,99000000.0,-1000000.0,-20000000.0,-82000000.0
6,Net Income,500000000.0,746000000.0,931000000.0,440000000.0
7,Change In Cash,818000000.0,93000000.0,194000000.0,101000000.0
8,Repurchase Of Stock,-216000000.0,-100000000.0,-150000000.0,-100000000.0
9,Effect Of Exchange Rate,63000000.0,-6000000.0,-35000000.0,36000000.0
10,Total Cash From Operating Activities,1184000000.0,1008000000.0,1126000000.0,1180000000.0
11,Depreciation,530000000.0,439000000.0,431000000.0,408000000.0
12,Other Cashflows From Investing Activities,30000000.0,22000000.0,2000000.0,-8000000.0
13,Dividends Paid,-146000000.0,-140000000.0,-142000000.0,-124000000.0
14,Change To Inventory,-28000000.0,-36000000.0,-53000000.0,-85000000.0
15,Change To Account Receivables,27000000.0,19000000.0,-43000000.0,-168000000.0
16,Other Cashflows From Financing Activities,-56000000.0,-39000000.0,-50000000.0,-34000000.0
17,Change To Netincome,-165000000.0,-28000000.0,41000000.0,477000000.0
18,Capital Expenditures,-461000000.0,-481000000.0,-546000000.0,-560000000.0
