,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
0,Intangible Assets,1308000000.0,1565000000.0,1897000000.0,2106000000.0
1,Total Liab,62946000000.0,63824000000.0,64429000000.0,63196000000.0
2,Total Stockholder Equity,15331000000.0,14588000000.0,14039000000.0,13697000000.0
3,Minority Interest,47000000.0,41000000.0,41000000.0,69000000.0
4,Other Current Liab,3561000000.0,3757000000.0,3735000000.0,3657000000.0
5,Total Assets,78324000000.0,78453000000.0,78509000000.0,76962000000.0
6,Common Stock,6230000000.0,5935000000.0,5827000000.0,5593000000.0
7,Other Current Assets,133000000.0,31000000.0,52000000.0,242000000.0
8,Retained Earnings,35167000000.0,34437000000.0,30427000000.0,26301000000.0
9,Other Liab,10773000000.0,10461000000.0,11211000000.0,12418000000.0
10,Good Will,6394000000.0,6196000000.0,6217000000.0,6183000000.0
11,Treasury Stock,-26066000000.0,-25784000000.0,-22215000000.0,-18197000000.0
12,Other Assets,4180000000.0,3932000000.0,3443000000.0,3495000000.0
13,Cash,8822000000.0,7299000000.0,6968000000.0,7381000000.0
14,Total Current Liabilities,25717000000.0,26621000000.0,28218000000.0,26931000000.0
15,Deferred Long Term Asset Charges,1358000000.0,1324000000.0,1363000000.0,1569000000.0
16,Short Long Term Debt,1420000000.0,16000000.0,10000000.0,6000000.0
17,Other Stockholder Equity,-888000000.0,-1567000000.0,-1684000000.0,-1192000000.0
18,Property Plant Equipment,8912000000.0,9230000000.0,9085000000.0,9823000000.0
19,Total Current Assets,39464000000.0,39193000000.0,38603000000.0,36244000000.0
20,Long Term Investments,1687000000.0,1365000000.0,,
21,Net Tangible Assets,7629000000.0,6827000000.0,5925000000.0,5386000000.0
22,Net Receivables,7178000000.0,8484000000.0,8714000000.0,7376000000.0
23,Long Term Debt,9646000000.0,9013000000.0,8005000000.0,7492000000.0
24,Inventory,11402000000.0,11266000000.0,11529000000.0,10018000000.0
25,Accounts Payable,6128000000.0,5957000000.0,7051000000.0,6487000000.0
0,Investments,-404000000.0,-70000000.0,-456000000.0,-175000000.0
1,Change To Liabilities,-28000000.0,-1035000000.0,526000000.0,1470000000.0
2,Total Cashflows From Investing Activities,-1485000000.0,-1928000000.0,-3212000000.0,-966000000.0
3,Net Borrowings,-610000000.0,1406000000.0,1840000000.0,-2383000000.0
4,Total Cash From Financing Activities,-3755000000.0,-4538000000.0,-3650000000.0,-3657000000.0
5,Change To Operating Activities,-1797000000.0,-2340000000.0,-1405000000.0,782000000.0
6,Issuance Of Stock,229000000.0,238000000.0,313000000.0,566000000.0
7,Net Income,2998000000.0,6093000000.0,6147000000.0,754000000.0
8,Change In Cash,1074000000.0,402000000.0,-430000000.0,1121000000.0
9,Repurchase Of Stock,-1130000000.0,-4047000000.0,-3798000000.0,-3798000000.0
10,Effect Of Exchange Rate,-13000000.0,-44000000.0,-126000000.0,38000000.0
11,Total Cash From Operating Activities,6327000000.0,6912000000.0,6558000000.0,5706000000.0
12,Depreciation,2337000000.0,2577000000.0,2766000000.0,2877000000.0
13,Other Cashflows From Investing Activities,-66000000.0,-24000000.0,13000000.0,89000000.0
14,Dividends Paid,-2243000000.0,-2132000000.0,-1951000000.0,-1831000000.0
15,Change To Inventory,-34000000.0,274000000.0,-1579000000.0,-1295000000.0
16,Change To Account Receivables,1442000000.0,171000000.0,-1619000000.0,-1151000000.0
17,Other Cashflows From Financing Activities,-1000000.0,-3000000.0,-54000000.0,-9000000.0
18,Change To Netincome,1409000000.0,1172000000.0,1722000000.0,2269000000.0
19,Capital Expenditures,-2115000000.0,-2669000000.0,-2916000000.0,-2336000000.0
