,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
0,Intangible Assets,195000000.0,177900000.0,187500000.0,206500000.0
1,Capital Surplus,2606500000.0,2449100000.0,2325600000.0,1565400000.0
2,Total Liab,4603100000.0,4203400000.0,3632300000.0,5606900000.0
3,Total Stockholder Equity,2098200000.0,1882300000.0,1615500000.0,987800000.0
4,Deferred Long Term Liab,132900000.0,106400000.0,83500000.0,70200000.0
5,Other Current Liab,3722200000.0,3219100000.0,2642900000.0,4141900000.0
6,Total Assets,6701300000.0,6085700000.0,5247800000.0,6817900000.0
7,Common Stock,1500000.0,1400000.0,1400000.0,700000.0
8,Other Current Assets,3761600000.0,3205300000.0,2603500000.0,4255900000.0
9,Retained Earnings,-233800000.0,-229800000.0,-335600000.0,-267300000.0
10,Other Liab,45000000.0,135300000.0,199200000.0,201400000.0
11,Good Will,2031800000.0,1973500000.0,1927400000.0,1961000000.0
12,Treasury Stock,-276000000.0,-338400000.0,-375900000.0,-311000000.0
13,Other Assets,187600000.0,150300000.0,94400000.0,82200000.0
14,Cash,188200000.0,281300000.0,217800000.0,94200000.0
15,Total Current Liabilities,3863900000.0,3371700000.0,2769600000.0,4285700000.0
16,Short Long Term Debt,6800000.0,6800000.0,6800000.0,
17,Other Stockholder Equity,-276000000.0,-338400000.0,-375900000.0,-311000000.0
18,Property Plant Equipment,164300000.0,160300000.0,104400000.0,102000000.0
19,Total Current Assets,4122600000.0,3623700000.0,2934100000.0,4466200000.0
20,Net Tangible Assets,-128600000.0,-269100000.0,-499400000.0,-1179700000.0
21,Net Receivables,101100000.0,80400000.0,63900000.0,62300000.0
22,Long Term Debt,652200000.0,657900000.0,663500000.0,1119800000.0
23,Accounts Payable,38900000.0,43200000.0,41500000.0,44400000.0
24,Minority Interest,,,,37800000.0
0,Investments,156900000.0,-33900000.0,-10900000.0,11700000.0
1,Change To Liabilities,-2600000.0,4600000.0,600000.0,4600000.0
2,Total Cashflows From Investing Activities,38800000.0,-119300000.0,-51100000.0,-39600000.0
3,Net Borrowings,-10000000.0,-7200000.0,-454000000.0,-25900000.0
4,Total Cash From Financing Activities,565300000.0,609700000.0,-1251600000.0,406800000.0
5,Change To Operating Activities,-142800000.0,-38600000.0,-53900000.0,-54400000.0
6,Issuance Of Stock,91700000.0,87000000.0,640800000.0,3200000.0
7,Net Income,-4000000.0,78700000.0,-60600000.0,3300000.0
8,Change In Cash,569900000.0,552300000.0,-1305500000.0,343600000.0
9,Effect Of Exchange Rate,-4000000.0,11300000.0,-12800000.0,11000000.0
10,Total Cash From Operating Activities,-30200000.0,50600000.0,9500000.0,-39800000.0
11,Depreciation,21200000.0,28800000.0,30400000.0,30200000.0
12,Change To Account Receivables,-12000000.0,-16400000.0,-3600000.0,5700000.0
13,Other Cashflows From Financing Activities,483600000.0,529900000.0,-1438400000.0,356100000.0
14,Change To Netincome,81900000.0,-24900000.0,59900000.0,-49800000.0
15,Capital Expenditures,-18100000.0,-16300000.0,-8000000.0,-17500000.0
16,Repurchase Of Stock,,,,-1800000.0
17,Other Cashflows From Investing Activities,,,,-200000.0
