,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,396445000.0,427998000.0,459623000.0
Capital Surplus,884528000.0,509162000.0,508848000.0
Total Liab,447268000.0,545021000.0,558724000.0
Total Stockholder Equity,822132000.0,492048000.0,492769000.0
Other Current Liab,32665000.0,27306000.0,38250000.0
Total Assets,1269400000.0,1037069000.0,1051493000.0
Common Stock,1529000.0,1324000.0,
Other Current Assets,3031000.0,1532000.0,2335000.0
Retained Earnings,-62338000.0,-12941000.0,-14432000.0
Other Liab,76439000.0,83297000.0,88430000.0
Good Will,518592000.0,514996000.0,514274000.0
Treasury Stock,-1587000.0,-5497000.0,-1647000.0
Other Assets,3907000.0,1929000.0,2101000.0
Cash,271382000.0,29256000.0,11684000.0
Total Current Liabilities,75345000.0,63002000.0,65451000.0
Deferred Long Term Asset Charges,2744000.0,833000.0,837000.0
Short Long Term Debt,7285000.0,4761000.0,3153000.0
Other Stockholder Equity,-1587000.0,-5497000.0,-1647000.0
Property Plant Equipment,3872000.0,4623000.0,5401000.0
Total Current Assets,346584000.0,87523000.0,68930000.0
Net Tangible Assets,-92905000.0,-450946000.0,-481128000.0
Net Receivables,64799000.0,52356000.0,49881000.0
Long Term Debt,295166000.0,398722000.0,404795000.0
Accounts Payable,6394000.0,4917000.0,4908000.0
Long Term Investments,,,1164000.0
