,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-855000000.0,789000000.0,552000000.0,134000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-6136000000.0,-3875000000.0,-7077000000.0,-3984000000.0
Net Borrowings,-5738000000.0,-3055000000.0,2796000000.0,-2680000000.0
Total Cash From Financing Activities,15372000000.0,1490000000.0,6352000000.0,1429000000.0
Change To Operating Activities,-2978000000.0,-522000000.0,-914000000.0,-621000000.0
Net Income,1057000000.0,1791000000.0,1721000000.0,1652000000.0
Change In Cash,9347000000.0,-688000000.0,1042000000.0,-672000000.0
Repurchase Of Stock,-286000000.0,-1241000000.0,-1038000000.0,-840000000.0
Total Cash From Operating Activities,111000000.0,1697000000.0,1767000000.0,1883000000.0
Depreciation,363000000.0,439000000.0,300000000.0,307000000.0
Other Cashflows From Investing Activities,-65000000.0,-106000000.0,-419000000.0,-44000000.0
Dividends Paid,-770000000.0,-682000000.0,-485000000.0,-336000000.0
Other Cashflows From Financing Activities,21771000000.0,5738000000.0,4486000000.0,5285000000.0
Change To Netincome,1454000000.0,-205000000.0,471000000.0,365000000.0
Capital Expenditures,-118000000.0,-95000000.0,-232000000.0,-253000000.0
