,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,5260000.0,-9608000.0,-8245000.0,-46187000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-24479000.0,-251167000.0,-321252000.0,-90115000.0
Net Borrowings,190539000.0,93167000.0,29034000.0,-115663000.0
Total Cash From Financing Activities,115398000.0,-12495000.0,-129417000.0,-135777000.0
Change To Operating Activities,6491000.0,-13584000.0,8511000.0,40158000.0
Issuance Of Stock,10203000.0,21410000.0,41360000.0,14107000.0
Net Income,75387000.0,222878000.0,216355000.0,122327000.0
Change In Cash,201013000.0,7124000.0,-208694000.0,32873000.0
Repurchase Of Stock,-55450000.0,-50638000.0,-148679000.0,-9807000.0
Effect Of Exchange Rate,33000.0,230000.0,-921000.0,1391000.0
Total Cash From Operating Activities,110061000.0,270556000.0,242896000.0,257374000.0
Depreciation,33856000.0,26422000.0,22727000.0,15589000.0
Other Cashflows From Investing Activities,5223000.0,-8366000.0,-32088000.0,-18974000.0
Dividends Paid,-25274000.0,-48089000.0,-48715000.0,-48651000.0
Other Cashflows From Financing Activities,-4620000.0,-28345000.0,-2417000.0,24237000.0
Change To Netincome,-31583000.0,17148000.0,-25136000.0,60409000.0
Capital Expenditures,-33603000.0,-226296000.0,-50852000.0,-23437000.0
