,2021-01-31,2020-01-31,2019-01-31,2018-01-31
Investments,47014000.0,-47014000.0,-47014000.0,-47014000.0
Change To Liabilities,16663000.0,43294000.0,11600000.0,7120000.0
Total Cashflows From Investing Activities,35530000.0,-61899000.0,-16297000.0,-6325000.0
Total Cash From Financing Activities,128913000.0,17158000.0,233798000.0,123362000.0
Change To Operating Activities,-173000.0,-4049000.0,9042000.0,9987000.0
Issuance Of Stock,5913000.0,2217000.0,1370000.0,237000.0
Net Income,-197024000.0,-134327000.0,-108087000.0,-75478000.0
Change In Cash,72738000.0,-132545000.0,116854000.0,45155000.0
Effect Of Exchange Rate,141000.0,132000.0,-101000.0,11000.0
Total Cash From Operating Activities,-91846000.0,-87936000.0,-100546000.0,-71893000.0
Depreciation,10083000.0,7698000.0,4086000.0,1612000.0
Change To Inventory,-9585000.0,-1472000.0,-19457000.0,-5583000.0
Change To Account Receivables,3292000.0,-8702000.0,-2735000.0,-13987000.0
Other Cashflows From Financing Activities,27544000.0,185000.0,1454000.0,1454000.0
Change To Netincome,83692000.0,8947000.0,5005000.0,4436000.0
Capital Expenditures,-11484000.0,-14885000.0,-14822000.0,-6325000.0
Net Borrowings,,,15806000.0,-1620000.0
