,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,180272000.0,-17968000.0,36083000.0,144041000.0
Total Cashflows From Investing Activities,-271714000.0,-113029000.0,-72808000.0,-107534000.0
Net Borrowings,-143000000.0,-112000000.0,-118988000.0,225000000.0
Total Cash From Financing Activities,-440667000.0,-651253000.0,-655177000.0,-202134000.0
Change To Operating Activities,150647000.0,-76674000.0,96785000.0,-30578000.0
Issuance Of Stock,107657000.0,63092000.0,51285000.0,38130000.0
Net Income,506421000.0,576968000.0,664505000.0,504893000.0
Change In Cash,-204062000.0,69243000.0,44725000.0,86224000.0
Repurchase Of Stock,-195368000.0,-324559000.0,-322255000.0,-207042000.0
Effect Of Exchange Rate,9128000.0,-1894000.0,-20186000.0,11891000.0
Total Cash From Operating Activities,499191000.0,835419000.0,792896000.0,384001000.0
Depreciation,79115000.0,83426000.0,82041000.0,79090000.0
Other Cashflows From Investing Activities,5525000.0,16636000.0,-3622000.0,-521000.0
Dividends Paid,-209956000.0,-277786000.0,-265219000.0,-258222000.0
Change To Account Receivables,-517599000.0,235073000.0,-201919000.0,-364181000.0
Change To Netincome,25807000.0,30207000.0,79537000.0,18032000.0
Capital Expenditures,-23133000.0,-36290000.0,-45000000.0,-40122000.0
