,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,291000000.0,-103000000.0,125000000.0,449000000.0
Total Cashflows From Investing Activities,-8157000000.0,-7331000000.0,-9736000000.0,-8098000000.0
Net Borrowings,3782000000.0,6376000000.0,3393000000.0,8769000000.0
Total Cash From Financing Activities,-8953000000.0,-1633000000.0,-1887000000.0,-4770000000.0
Change To Operating Activities,-124000000.0,-397000000.0,-270000000.0,76000000.0
Issuance Of Stock,207000000.0,118000000.0,69000000.0,116000000.0
Net Income,3222000000.0,1668000000.0,1230000000.0,9895000000.0
Change In Cash,-2548000000.0,2784000000.0,144000000.0,-914000000.0
Repurchase Of Stock,-11217000000.0,-6873000000.0,-4399000000.0,-11715000000.0
Total Cash From Operating Activities,14562000000.0,11748000000.0,11767000000.0,11954000000.0
Depreciation,9704000000.0,9926000000.0,10318000000.0,10588000000.0
Other Cashflows From Investing Activities,-95000000.0,12000000.0,-590000000.0,688000000.0
Change To Account Receivables,26000000.0,-505000000.0,-98000000.0,-84000000.0
Other Cashflows From Financing Activities,-1725000000.0,-1254000000.0,-950000000.0,-1940000000.0
Change To Netincome,1443000000.0,1159000000.0,462000000.0,-8970000000.0
Capital Expenditures,-7415000000.0,-7195000000.0,-9125000000.0,-8681000000.0
