Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,103558000.0,123595000.0,126575000.0,129555000.0
Total Liab,1003800000.0,1082144000.0,678408000.0,560643000.0
Total Stockholder Equity,1832771000.0,1849447000.0,1673857000.0,1621951000.0
Other Current Liab,47767000.0,32533000.0,36966000.0,31446000.0
Total Assets,2836571000.0,2931591000.0,2368721000.0,2212902000.0
Common Stock,20165000.0,4937000.0,1673857000.0,45829000.0
Other Current Assets,2597000.0,14001000.0,27585000.0,3768000.0
Retained Earnings,1811800000.0,1848935000.0,1677920000.0,1585009000.0
Other Liab,97997000.0,79722000.0,105526000.0,107007000.0
Good Will,68594000.0,68594000.0,68594000.0,68594000.0
Treasury Stock,806000.0,-4425000.0,-4063000.0,-8887000.0
Other Assets,141046000.0,108540000.0,116650000.0,83862000.0
Cash,790725000.0,686009000.0,437825000.0,673166000.0
Total Current Liabilities,552622000.0,630915000.0,572882000.0,453636000.0
Deferred Long Term Asset Charges,96126000.0,78849000.0,78155000.0,56804000.0
Other Stockholder Equity,806000.0,-4425000.0,-4063000.0,-8887000.0
Property Plant Equipment,649036000.0,741152000.0,291596000.0,281394000.0
Total Current Assets,1855621000.0,1875746000.0,1765306000.0,1649497000.0
Long Term Investments,18716000.0,13964000.0,,
Net Tangible Assets,1660619000.0,1657258000.0,1478688000.0,1423802000.0
Short Term Investments,1224000.0,1668000.0,262802000.0,93546000.0
Net Receivables,452945000.0,488233000.0,449382000.0,364862000.0
Inventory,556530000.0,605968000.0,521827000.0,457927000.0
Accounts Payable,206697000.0,255372000.0,274435000.0,252301000.0
Minority Interest,,,16456000.0,30308000.0
Investments,1587000.0,264244000.0,-166628000.0,-94711000.0
Change To Liabilities,-49275000.0,-10419000.0,19384000.0,30568000.0
Total Cashflows From Investing Activities,-27171000.0,140728000.0,-232231000.0,-147784000.0
Net Borrowings,-724000.0,-724000.0,-724000.0,-14236000.0
Total Cash From Financing Activities,-151700000.0,-190722000.0,-270014000.0,-84403000.0
Change To Operating Activities,-83126000.0,-46812000.0,41321000.0,-931000.0
Issuance Of Stock,6919000.0,19793000.0,18484000.0,19946000.0
Net Income,108013000.0,330489000.0,268256000.0,105123000.0
Change In Cash,104716000.0,234214000.0,-221371000.0,121777000.0
Repurchase Of Stock,-137422000.0,-127508000.0,-205885000.0,-39204000.0
Effect Of Exchange Rate,7510000.0,-1244000.0,-8695000.0,12836000.0
Total Cash From Operating Activities,276077000.0,285452000.0,289569000.0,341128000.0
Depreciation,63400000.0,62800000.0,61200000.0,63800000.0
Dividends Paid,-17195000.0,-65127000.0,-62664000.0,-50909000.0
Change To Inventory,64884000.0,-84058000.0,-94716000.0,46662000.0
Change To Account Receivables,22885000.0,-37429000.0,-29509000.0,-24197000.0
Other Cashflows From Financing Activities,-3278000.0,-17880000.0,-19949000.0,-19949000.0
Change To Netincome,140214000.0,80283000.0,27591000.0,61401000.0
Capital Expenditures,-28758000.0,-123516000.0,-65622000.0,-53352000.0
