,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-658000000.0,-2910000000.0,1620000000.0,-1790000000.0
Change To Liabilities,-249000000.0,-378000000.0,-52000000.0,265000000.0
Total Cashflows From Investing Activities,-4121000000.0,-6618000000.0,-3843000000.0,7762000000.0
Net Borrowings,46000000.0,-80000000.0,-4995000000.0,-7876000000.0
Total Cash From Financing Activities,-2708000000.0,-5229000000.0,-9359000000.0,-12356000000.0
Change To Operating Activities,76000000.0,37000000.0,-55000000.0,69000000.0
Net Income,-2701000000.0,7189000000.0,6257000000.0,-855000000.0
Change In Cash,-2047000000.0,-789000000.0,-385000000.0,2715000000.0
Repurchase Of Stock,-892000000.0,-3500000000.0,-2999000000.0,-3000000000.0
Effect Of Exchange Rate,-20000000.0,-46000000.0,-117000000.0,232000000.0
Total Cash From Operating Activities,4802000000.0,11104000000.0,12934000000.0,7077000000.0
Depreciation,6389000000.0,6311000000.0,6012000000.0,7161000000.0
Other Cashflows From Investing Activities,-65000000.0,-84000000.0,205000000.0,283000000.0
Dividends Paid,-1831000000.0,-1500000000.0,-1363000000.0,-1305000000.0
Change To Inventory,-25000000.0,-67000000.0,86000000.0,-55000000.0
Change To Account Receivables,521000000.0,505000000.0,235000000.0,-886000000.0
Other Cashflows From Financing Activities,-31000000.0,-149000000.0,-123000000.0,-175000000.0
Change To Netincome,1486000000.0,-1817000000.0,30000000.0,756000000.0
Capital Expenditures,-4715000000.0,-6636000000.0,-6750000000.0,-4591000000.0
Issuance Of Stock,,,121000000.0,121000000.0
