,2021-08-01,2020-08-02,2019-07-28,2018-07-29
Change To Liabilities,-164000000.0,145000000.0,125000000.0,78000000.0
Total Cashflows From Investing Activities,-158000000.0,2272000000.0,153000000.0,-7197000000.0
Net Borrowings,-1181000000.0,-2560000000.0,-1159000000.0,6439000000.0
Total Cash From Financing Activities,-1669000000.0,-2987000000.0,-1591000000.0,5807000000.0
Change To Operating Activities,-28000000.0,-3000000.0,-1000000.0,27000000.0
Issuance Of Stock,2000000.0,23000000.0,23000000.0,23000000.0
Net Income,1002000000.0,1628000000.0,211000000.0,261000000.0
Change In Cash,-790000000.0,680000000.0,-195000000.0,12000000.0
Repurchase Of Stock,-51000000.0,-12000000.0,-8000000.0,-109000000.0
Effect Of Exchange Rate,2000000.0,-1000000.0,-7000000.0,-8000000.0
Total Cash From Operating Activities,1035000000.0,1396000000.0,1250000000.0,1410000000.0
Depreciation,317000000.0,328000000.0,363000000.0,279000000.0
Other Cashflows From Investing Activities,8000000.0,4000000.0,553000000.0,-19000000.0
Dividends Paid,-439000000.0,-426000000.0,-423000000.0,-426000000.0
Change To Inventory,-77000000.0,-20000000.0,36000000.0,-84000000.0
Change To Account Receivables,-20000000.0,-30000000.0,-11000000.0,56000000.0
Change To Netincome,5000000.0,-652000000.0,527000000.0,793000000.0
Capital Expenditures,-275000000.0,-299000000.0,-384000000.0,-407000000.0
Investments,,30000000.0,30000000.0,30000000.0
Other Cashflows From Financing Activities,,-12000000.0,-1000000.0,-97000000.0
