Unnamed: 0,2021-03-27,2020-03-28,2019-03-30,2018-03-31
Intangible Assets,1992000000.0,1986000000.0,2293000000.0,1236000000.0
Capital Surplus,1158000000.0,1085000000.0,1011000000.0,831000000.0
Total Liab,5324000000.0,5778000000.0,4214000000.0,2037000000.0
Total Stockholder Equity,2158000000.0,2167000000.0,2429000000.0,2018000000.0
Minority Interest,-1000000.0,1000000.0,7000000.0,4000000.0
Other Current Liab,315000000.0,205000000.0,266000000.0,236000000.0
Total Assets,7481000000.0,7946000000.0,6650000000.0,4059000000.0
Other Current Assets,36000000.0,23000000.0,36000000.0,37000000.0
Retained Earnings,4270000000.0,4332000000.0,4707000000.0,4152000000.0
Other Liab,826000000.0,607000000.0,736000000.0,402000000.0
Good Will,1498000000.0,1488000000.0,1659000000.0,848000000.0
Treasury Stock,-3270000000.0,-3250000000.0,-3289000000.0,-2965000000.0
Other Assets,456000000.0,392000000.0,354000000.0,130000000.0
Cash,232000000.0,592000000.0,172000000.0,163000000.0
Total Current Liabilities,1621000000.0,1401000000.0,1542000000.0,960000000.0
Deferred Long Term Asset Charges,278000000.0,225000000.0,112000000.0,56000000.0
Short Long Term Debt,97000000.0,128000000.0,80000000.0,
Other Stockholder Equity,56000000.0,75000000.0,-66000000.0,51000000.0
Property Plant Equipment,1989000000.0,2186000000.0,615000000.0,583000000.0
Total Current Assets,1546000000.0,1894000000.0,1729000000.0,1262000000.0
Net Tangible Assets,-1332000000.0,-1307000000.0,-1523000000.0,-66000000.0
Net Receivables,398000000.0,319000000.0,404000000.0,299000000.0
Long Term Debt,1220000000.0,2012000000.0,1936000000.0,675000000.0
Inventory,736000000.0,827000000.0,953000000.0,661000000.0
Accounts Payable,512000000.0,428000000.0,371000000.0,294000000.0
Change To Liabilities,50000000.0,63000000.0,-48000000.0,-21000000.0
Total Cashflows From Investing Activities,-124000000.0,62000000.0,-2125000000.0,-1533000000.0
Net Borrowings,-868000000.0,-394000000.0,1644000000.0,736000000.0
Total Cash From Financing Activities,-870000000.0,-497000000.0,1451000000.0,389000000.0
Change To Operating Activities,135000000.0,-88000000.0,31000000.0,113000000.0
Issuance Of Stock,3000000.0,3000000.0,29000000.0,14000000.0
Net Income,-62000000.0,-223000000.0,543000000.0,592000000.0
Change In Cash,-358000000.0,420000000.0,9000000.0,-67000000.0
Repurchase Of Stock,-1000000.0,-102000000.0,-207000000.0,-361000000.0
Effect Of Exchange Rate,12000000.0,-4000000.0,-11000000.0,15000000.0
Total Cash From Operating Activities,624000000.0,859000000.0,694000000.0,1062000000.0
Depreciation,212000000.0,249000000.0,225000000.0,208000000.0
Change To Inventory,145000000.0,115000000.0,-125000000.0,46000000.0
Change To Account Receivables,-52000000.0,42000000.0,-23000000.0,11000000.0
Other Cashflows From Financing Activities,-4000000.0,-1000000.0,-15000000.0,-15000000.0
Change To Netincome,190000000.0,693000000.0,87000000.0,109000000.0
Capital Expenditures,-111000000.0,-223000000.0,-181000000.0,-120000000.0
Other Cashflows From Investing Activities,,298000000.0,-66000000.0,5000000.0
