,Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
0,Capital Surplus,4953703000.0,4588056000.0,4581710000.0,4577813000.0
1,Total Liab,3670909000.0,3629957000.0,3682365000.0,3758716000.0
2,Total Stockholder Equity,3718241000.0,3405977000.0,3444905000.0,3494063000.0
3,Minority Interest,67967000.0,68099000.0,71682000.0,71944000.0
4,Other Current Liab,86689000.0,84282000.0,84147000.0,84137000.0
5,Total Assets,7457117000.0,7104033000.0,7198952000.0,7324723000.0
6,Common Stock,1098000.0,1070000.0,1069000.0,1068000.0
7,Other Current Assets,5662000.0,5405000.0,21392000.0,3918000.0
8,Other Liab,182475000.0,173652000.0,176829000.0,164867000.0
9,Treasury Stock,-1236560000.0,-1183149000.0,-1137874000.0,-1084818000.0
10,Other Assets,349587000.0,299426000.0,319476000.0,298834000.0
11,Cash,374556000.0,333402000.0,420441000.0,589614000.0
12,Total Current Liabilities,308242000.0,276348000.0,322211000.0,454750000.0
13,Short Long Term Debt,-1900000.0,-2800000.0,-3700000.0,98900000.0
14,Other Stockholder Equity,-902399000.0,-847638000.0,-796462000.0,-742987000.0
15,Property Plant Equipment,6689714000.0,6421098000.0,6408591000.0,6383313000.0
16,Total Current Assets,399401000.0,364709000.0,451891000.0,621584000.0
17,Long Term Investments,18415000.0,18800000.0,18994000.0,20992000.0
18,Net Tangible Assets,3718241000.0,3405977000.0,3444905000.0,3494063000.0
19,Net Receivables,19183000.0,25902000.0,10058000.0,28052000.0
20,Long Term Debt,3170392000.0,3170357000.0,3170325000.0,3126899000.0
21,Accounts Payable,155057000.0,159111000.0,175608000.0,183654000.0
0,Change To Liabilities,-7201000.0,-7127000.0,-11589000.0,12638000.0
1,Total Cashflows From Investing Activities,-390841000.0,-92066000.0,-131513000.0,-92453000.0
2,Total Cash From Financing Activities,277439000.0,-83416000.0,-143521000.0,-82802000.0
3,Change To Operating Activities,26671000.0,-33675000.0,-8559000.0,20429000.0
4,Issuance Of Stock,358843000.0,358843000.0,358843000.0,358843000.0
5,Net Income,30179000.0,31347000.0,29193000.0,34957000.0
6,Change In Cash,41811000.0,-87026000.0,-168999000.0,-12145000.0
7,Total Cash From Operating Activities,155213000.0,88456000.0,106035000.0,163110000.0
8,Depreciation,99586000.0,93141000.0,91825000.0,90575000.0
9,Other Cashflows From Investing Activities,-810000.0,-426000.0,2697000.0,3613000.0
10,Dividends Paid,-84282000.0,-84147000.0,-84137000.0,-84138000.0
11,Other Cashflows From Financing Activities,2878000.0,731000.0,896000.0,1336000.0
12,Change To Netincome,5978000.0,4770000.0,5165000.0,4511000.0
13,Capital Expenditures,-2739000.0,-1315000.0,-1372000.0,-1255000.0
14,Net Borrowings,,,-60280000.0,-60280000.0
