,Unnamed: 0,2021-07-31,2021-04-30,2021-01-31,2020-10-31
0,Intangible Assets,9746000000.0,3925000000.0,4114000000.0,4398000000.0
1,Capital Surplus,48666000000.0,36232000000.0,35601000000.0,34727000000.0
2,Total Liab,33138000000.0,22318000000.0,24808000000.0,18826000000.0
3,Total Stockholder Equity,55520000000.0,42567000000.0,41493000000.0,40310000000.0
4,Deferred Long Term Liab,1916000000.0,1770000000.0,1715000000.0,1462000000.0
5,Other Current Liab,11067000000.0,11158000000.0,12607000000.0,7964000000.0
6,Total Assets,88658000000.0,64885000000.0,66301000000.0,59136000000.0
7,Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
8,Other Current Assets,1211000000.0,1166000000.0,1146000000.0,1041000000.0
9,Retained Earnings,6937000000.0,6402000000.0,5933000000.0,5666000000.0
10,Other Liab,2062000000.0,1474000000.0,1472000000.0,1146000000.0
11,Good Will,48103000000.0,26640000000.0,26318000000.0,26313000000.0
12,Treasury Stock,-84000000.0,-68000000.0,-42000000.0,-84000000.0
13,Other Assets,4614000000.0,4377000000.0,4408000000.0,4026000000.0
14,Cash,6299000000.0,8544000000.0,6195000000.0,3724000000.0
15,Total Current Liabilities,17393000000.0,15323000000.0,17728000000.0,12234000000.0
16,Deferred Long Term Asset Charges,2698000000.0,2607000000.0,2651000000.0,2510000000.0
17,Short Long Term Debt,1342000000.0,4000000.0,4000000.0,4000000.0
18,Other Stockholder Equity,-84000000.0,-68000000.0,-42000000.0,-84000000.0
19,Property Plant Equipment,5834000000.0,5555000000.0,5663000000.0,5526000000.0
20,Total Current Assets,16256000000.0,20444000000.0,21889000000.0,14946000000.0
21,Long Term Investments,4105000000.0,3944000000.0,3909000000.0,3927000000.0
22,Net Tangible Assets,-2329000000.0,12002000000.0,11061000000.0,9599000000.0
23,Short Term Investments,3351000000.0,6479000000.0,5771000000.0,5768000000.0
24,Net Receivables,4074000000.0,3174000000.0,7786000000.0,3890000000.0
25,Long Term Debt,10589000000.0,2672000000.0,2673000000.0,2672000000.0
26,Accounts Payable,4235000000.0,3403000000.0,2616000000.0,1893000000.0
0,Investments,3515000000.0,-451000000.0,243000000.0,-887000000.0
1,Change To Liabilities,332000000.0,-2544000000.0,5780000000.0,-724000000.0
2,Total Cashflows From Investing Activities,-11054000000.0,-1047000000.0,94000000.0,-1035000000.0
3,Net Borrowings,8065000000.0,-50000000.0,-40000000.0,-13000000.0
4,Total Cash From Financing Activities,8440000000.0,165000000.0,176000000.0,368000000.0
5,Change To Operating Activities,-836000000.0,-588000000.0,-885000000.0,-617000000.0
6,Issuance Of Stock,375000000.0,225000000.0,216000000.0,381000000.0
7,Net Income,535000000.0,469000000.0,267000000.0,1081000000.0
8,Change In Cash,-2245000000.0,2349000000.0,2471000000.0,-328000000.0
9,Effect Of Exchange Rate,-17000000.0,3000000.0,27000000.0,27000000.0
10,Total Cash From Operating Activities,386000000.0,3228000000.0,2174000000.0,339000000.0
11,Depreciation,719000000.0,517000000.0,1185000000.0,670000000.0
12,Change To Account Receivables,-812000000.0,4616000000.0,-4429000000.0,128000000.0
13,Change To Netincome,114000000.0,276000000.0,282000000.0,-470000000.0
14,Capital Expenditures,-213000000.0,-171000000.0,-149000000.0,-124000000.0
15,Other Cashflows From Financing Activities,,-10000000.0,-10000000.0,-10000000.0
