,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,998000000.0,-730000000.0,-231000000.0,411000000.0
Change To Liabilities,-20000000.0,98000000.0,104000000.0,41000000.0
Total Cashflows From Investing Activities,-649000000.0,-2102000000.0,-1684000000.0,-1495000000.0
Net Borrowings,255000000.0,1482000000.0,2981000000.0,517000000.0
Total Cash From Financing Activities,-1443000000.0,-2648000000.0,-2500000000.0,-2179000000.0
Change To Operating Activities,-100000000.0,-28000000.0,54000000.0,44000000.0
Net Income,2765000000.0,3331000000.0,3309000000.0,5471000000.0
Change In Cash,2171000000.0,100000000.0,457000000.0,-202000000.0
Repurchase Of Stock,-867000000.0,-3373000000.0,-4671000000.0,-1970000000.0
Total Cash From Operating Activities,4263000000.0,4850000000.0,4641000000.0,3472000000.0
Depreciation,1383000000.0,1349000000.0,1331000000.0,1315000000.0
Other Cashflows From Investing Activities,-77000000.0,31000000.0,-27000000.0,37000000.0
Dividends Paid,-797000000.0,-763000000.0,-751000000.0,-708000000.0
Change To Account Receivables,83000000.0,45000000.0,-46000000.0,-70000000.0
Other Cashflows From Financing Activities,-34000000.0,6000000.0,-59000000.0,-18000000.0
Change To Netincome,113000000.0,53000000.0,-7000000.0,-3349000000.0
Capital Expenditures,-1626000000.0,-1657000000.0,-1745000000.0,-2040000000.0
