,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Total Liab,26581000000.0,26532000000.0,26683000000.0,26716000000.0
Total Stockholder Equity,13426000000.0,13151000000.0,13101000000.0,12713000000.0
Minority Interest,8000000.0,9000000.0,9000000.0,14000000.0
Other Current Liab,422000000.0,409000000.0,210000000.0,362000000.0
Total Assets,40015000000.0,39692000000.0,39793000000.0,39443000000.0
Common Stock,2254000000.0,757000000.0,763000000.0,765000000.0
Other Current Assets,102000000.0,93000000.0,96000000.0,96000000.0
Retained Earnings,11723000000.0,12476000000.0,12527000000.0,12166000000.0
Other Liab,7951000000.0,7973000000.0,7905000000.0,7826000000.0
Treasury Stock,-551000000.0,-82000000.0,-189000000.0,-218000000.0
Other Assets,353000000.0,357000000.0,272000000.0,341000000.0
Cash,2986000000.0,2955000000.0,3129000000.0,2898000000.0
Total Current Liabilities,1951000000.0,1800000000.0,2019000000.0,2294000000.0
Short Long Term Debt,122000000.0,41000000.0,401000000.0,371000000.0
Other Stockholder Equity,-551000000.0,-82000000.0,-189000000.0,-218000000.0
Property Plant Equipment,32948000000.0,32870000000.0,32916000000.0,32881000000.0
Total Current Assets,4573000000.0,4305000000.0,4441000000.0,4228000000.0
Long Term Investments,2141000000.0,2160000000.0,2164000000.0,1993000000.0
Net Tangible Assets,13426000000.0,13151000000.0,13101000000.0,12713000000.0
Short Term Investments,4000000.0,2000000.0,2000000.0,1000000.0
Net Receivables,1192000000.0,957000000.0,912000000.0,980000000.0
Long Term Debt,16229000000.0,16306000000.0,16301000000.0,16121000000.0
Inventory,289000000.0,298000000.0,302000000.0,253000000.0
Accounts Payable,879000000.0,859000000.0,809000000.0,1042000000.0
