,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,283000000.0,2597000000.0,-139000000.0,-82000000.0
Change To Liabilities,174000000.0,64000000.0,-90000000.0,34000000.0
Total Cashflows From Investing Activities,-1238000000.0,1588000000.0,-1627000000.0,-582000000.0
Net Borrowings,-50000000.0,-28000000.0,-141000000.0,-20000000.0
Total Cash From Financing Activities,-2009000000.0,-2569000000.0,-1693000000.0,-1985000000.0
Change To Operating Activities,375000000.0,375000000.0,48000000.0,401000000.0
Issuance Of Stock,142000000.0,159000000.0,181000000.0,189000000.0
Net Income,1392000000.0,1842000000.0,2101000000.0,1504000000.0
Change In Cash,35000000.0,1484000000.0,-764000000.0,-109000000.0
Repurchase Of Stock,-1621000000.0,-2247000000.0,-1261000000.0,-1889000000.0
Effect Of Exchange Rate,-17000000.0,-34000000.0,-36000000.0,51000000.0
Total Cash From Operating Activities,3299000000.0,2499000000.0,2592000000.0,2407000000.0
Depreciation,529000000.0,504000000.0,484000000.0,443000000.0
Dividends Paid,-480000000.0,-453000000.0,-468000000.0,-265000000.0
Change To Account Receivables,264000000.0,37000000.0,-365000000.0,-249000000.0
Change To Netincome,535000000.0,30000000.0,400000000.0,274000000.0
Capital Expenditures,-398000000.0,-392000000.0,-377000000.0,-284000000.0
Other Cashflows From Financing Activities,,,-4000000.0,-4000000.0
