Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,10747000000.0,11424000000.0,12055000000.0,
Capital Surplus,27707000000.0,27997000000.0,25965000000.0,
Total Liab,17586000000.0,17842000000.0,33530000000.0,
Total Stockholder Equity,24824000000.0,24309000000.0,74660000000.0,
Minority Interest,239000000.0,246000000.0,493000000.0,
Other Current Liab,2980000000.0,2825000000.0,5568000000.0,
Total Assets,42649000000.0,42397000000.0,108683000000.0,
Common Stock,7000000.0,7000000.0,7000000.0,
Other Current Assets,717000000.0,1170000000.0,10109000000.0,
Other Liab,7545000000.0,9063000000.0,14436000000.0,
Good Will,10269000000.0,10229000000.0,10193000000.0,
Treasury Stock,-2890000000.0,-3270000000.0,74660000000.0,
Other Assets,1882000000.0,2058000000.0,58781000000.0,
Cash,3526000000.0,1764000000.0,2270000000.0,
Total Current Liabilities,8548000000.0,8238000000.0,13310000000.0,
Deferred Long Term Asset Charges,464000000.0,287000000.0,304000000.0,
Short Long Term Debt,1000000.0,1000000.0,263000000.0,
Other Stockholder Equity,-2890000000.0,-3270000000.0,74660000000.0,
Property Plant Equipment,4917000000.0,5101000000.0,4544000000.0,
Total Current Assets,14768000000.0,13519000000.0,22972000000.0,
Long Term Investments,66000000.0,66000000.0,138000000.0,
Net Tangible Assets,3808000000.0,2656000000.0,52412000000.0,
Short Term Investments,269000000.0,5000000.0,5000000.0,
Net Receivables,4948000000.0,5548000000.0,5278000000.0,
Long Term Debt,1098000000.0,110000000.0,5717000000.0,
Inventory,4882000000.0,5032000000.0,5310000000.0,
Accounts Payable,3615000000.0,3702000000.0,3798000000.0,
Retained Earnings,,-425000000.0,-1000000.0,
Investments,-275000000.0,33000000.0,930000000.0,388000000.0
Change To Liabilities,-118000000.0,149000000.0,642000000.0,-449000000.0
Total Cashflows From Investing Activities,-674000000.0,-904000000.0,-505000000.0,1296000000.0
Net Borrowings,998000000.0,-7671000000.0,-4800000000.0,4030000000.0
Total Cash From Financing Activities,303000000.0,-2929000000.0,-2624000000.0,2025000000.0
Change To Operating Activities,186000000.0,-418000000.0,-1564000000.0,1142000000.0
Issuance Of Stock,56000000.0,47000000.0,85000000.0,265000000.0
Net Income,681000000.0,-959000000.0,-5065000000.0,2916000000.0
Change In Cash,1700000000.0,-2851000000.0,-2890000000.0,3268000000.0
Repurchase Of Stock,-275000000.0,-25000000.0,-25000000.0,-25000000.0
Effect Of Exchange Rate,7000000.0,-88000000.0,-244000000.0,165000000.0
Total Cash From Operating Activities,2064000000.0,1070000000.0,483000000.0,-275000000.0
Depreciation,1177000000.0,1000000000.0,909000000.0,464000000.0
Other Cashflows From Investing Activities,-7000000.0,-13000000.0,-3000000.0,-314000000.0
Dividends Paid,-388000000.0,-194000000.0,-194000000.0,-988000000.0
Change To Inventory,104000000.0,74000000.0,-498000000.0,-1105000000.0
Change To Account Receivables,187000000.0,-361000000.0,-1522000000.0,-693000000.0
Other Cashflows From Financing Activities,-88000000.0,4914000000.0,2091000000.0,-1282000000.0
Change To Netincome,-153000000.0,1585000000.0,7581000000.0,-2587000000.0
Capital Expenditures,-475000000.0,-1163000000.0,-1501000000.0,-1186000000.0
