,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,10747000000.0,11424000000.0,12055000000.0,
Capital Surplus,27707000000.0,27997000000.0,25965000000.0,
Total Liab,17586000000.0,17842000000.0,33530000000.0,
Total Stockholder Equity,24824000000.0,24309000000.0,74660000000.0,
Minority Interest,239000000.0,246000000.0,493000000.0,
Other Current Liab,2980000000.0,2825000000.0,5568000000.0,
Total Assets,42649000000.0,42397000000.0,108683000000.0,
Common Stock,7000000.0,7000000.0,7000000.0,
Other Current Assets,717000000.0,1170000000.0,10109000000.0,
Other Liab,7545000000.0,9063000000.0,14436000000.0,
Good Will,10269000000.0,10229000000.0,10193000000.0,
Treasury Stock,-2890000000.0,-3270000000.0,74660000000.0,
Other Assets,1882000000.0,2058000000.0,58781000000.0,
Cash,3526000000.0,1764000000.0,2270000000.0,
Total Current Liabilities,8548000000.0,8238000000.0,13310000000.0,
Deferred Long Term Asset Charges,464000000.0,287000000.0,304000000.0,
Short Long Term Debt,1000000.0,1000000.0,263000000.0,
Other Stockholder Equity,-2890000000.0,-3270000000.0,74660000000.0,
Property Plant Equipment,4917000000.0,5101000000.0,4544000000.0,
Total Current Assets,14768000000.0,13519000000.0,22972000000.0,
Long Term Investments,66000000.0,66000000.0,138000000.0,
Net Tangible Assets,3808000000.0,2656000000.0,52412000000.0,
Short Term Investments,269000000.0,5000000.0,5000000.0,
Net Receivables,4948000000.0,5548000000.0,5278000000.0,
Long Term Debt,1098000000.0,110000000.0,5717000000.0,
Inventory,4882000000.0,5032000000.0,5310000000.0,
Accounts Payable,3615000000.0,3702000000.0,3798000000.0,
Retained Earnings,,-425000000.0,-1000000.0,
