,2021-05-31,2021-02-28,2020-11-30,2020-08-31
Investments,32000000.0,-287912000.0,-287912000.0,-287912000.0
Change To Liabilities,251000.0,2461000.0,-3846000.0,6523000.0
Total Cashflows From Investing Activities,31724000.0,-288610000.0,-724000.0,-1143000.0
Total Cash From Financing Activities,964000.0,4445000.0,-5822000.0,354348000.0
Change To Operating Activities,2995000.0,1813000.0,-21563000.0,1335000.0
Issuance Of Stock,964000.0,4445000.0,4445000.0,872497000.0
Net Income,-357000.0,-6364000.0,-4651000.0,-21479000.0
Change In Cash,39563000.0,-285086000.0,-28718000.0,370683000.0
Total Cash From Operating Activities,6875000.0,-921000.0,-22172000.0,17478000.0
Depreciation,4877000.0,4888000.0,4874000.0,5061000.0
Change To Account Receivables,-3193000.0,-8509000.0,-450000.0,3417000.0
Change To Netincome,1764000.0,4263000.0,2938000.0,22096000.0
Capital Expenditures,-162000.0,-484000.0,-188000.0,-690000.0
Repurchase Of Stock,,,-57000.0,-264688000.0
Other Cashflows From Financing Activities,,,-5765000.0,-40573000.0
