,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,62000.0,194000.0,352000.0,336000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-78844000.0,-79317000.0,-63881000.0,-71335000.0
Net Borrowings,194804000.0,29807000.0,34809000.0,39811000.0
Total Cash From Financing Activities,128710000.0,-33838000.0,-29451000.0,-22739000.0
Change To Operating Activities,-15257000.0,23621000.0,-39604000.0,25602000.0
Net Income,16197000.0,11601000.0,17695000.0,3773000.0
Change In Cash,146660000.0,11889000.0,-29843000.0,25846000.0
Total Cash From Operating Activities,96794000.0,125044000.0,63489000.0,119920000.0
Depreciation,91509000.0,89683000.0,90412000.0,90987000.0
Other Cashflows From Investing Activities,1297000.0,1297000.0,13105000.0,13105000.0
Dividends Paid,-49131000.0,-49130000.0,-49105000.0,-49105000.0
Change To Account Receivables,2416000.0,188000.0,535000.0,15506000.0
Other Cashflows From Financing Activities,-16963000.0,-14467000.0,-15155000.0,-13445000.0
Change To Netincome,-242000.0,-2070000.0,-7568000.0,-17970000.0
Repurchase Of Stock,,-48000.0,-48000.0,-48000.0
