,2020-09-25,2019-09-27,2018-09-28,2017-09-29
Intangible Assets,152431000.0,180891000.0,184019000.0,189648000.0
Total Liab,478920000.0,508719000.0,494884000.0,389712000.0
Total Stockholder Equity,2432643000.0,2307351000.0,2363936000.0,2136742000.0
Minority Interest,5762000.0,5679000.0,6567000.0,7100000.0
Other Current Liab,104278000.0,122027000.0,103165000.0,83603000.0
Total Assets,2917325000.0,2821749000.0,2865387000.0,2533554000.0
Common Stock,99000.0,99000.0,102000.0,101000.0
Other Current Assets,43241000.0,30090000.0,21133000.0,18734000.0
Retained Earnings,2443138000.0,2327877000.0,2313539000.0,2083063000.0
Other Liab,146496000.0,201866000.0,209686000.0,143939000.0
Good Will,336945000.0,334829000.0,327982000.0,311087000.0
Treasury Stock,-10594000.0,-20625000.0,-15832000.0,-7753000.0
Other Assets,210126000.0,207470000.0,154846000.0,221746000.0
Cash,1071876000.0,797210000.0,918063000.0,627017000.0
Total Current Liabilities,267109000.0,306853000.0,285198000.0,245773000.0
Deferred Long Term Asset Charges,118881000.0,114075000.0,74766000.0,190915000.0
Other Stockholder Equity,-10594000.0,-20625000.0,-15832000.0,-7753000.0
Property Plant Equipment,618478000.0,537432000.0,514182000.0,485275000.0
Total Current Assets,1547196000.0,1381540000.0,1496576000.0,1011434000.0
Long Term Investments,52149000.0,179587000.0,187782000.0,314364000.0
Net Tangible Assets,1943267000.0,1791631000.0,1851935000.0,1636007000.0
Short Term Investments,46948000.0,119146000.0,178138000.0,247757000.0
Net Receivables,341697000.0,384766000.0,334528000.0,76194000.0
Inventory,25550000.0,32331000.0,26206000.0,25051000.0
Accounts Payable,12617000.0,15212000.0,21922000.0,14373000.0
Capital Surplus,,,66127000.0,61331000.0
