,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,0.0,-593000000.0,0.0,0.0
Total Cashflows From Investing Activities,311000000.0,165000000.0,4734000000.0,-173000000.0
Net Borrowings,-805000000.0,-755000000.0,-3702000000.0,-2743000000.0
Total Cash From Financing Activities,-866000000.0,-805000000.0,-3708000000.0,-2749000000.0
Change To Operating Activities,-474000000.0,-932000000.0,404000000.0,404000000.0
Issuance Of Stock,9000000.0,9000000.0,1000000.0,1000000.0
Net Income,278000000.0,-798000000.0,1098000000.0,-244000000.0
Change In Cash,-508000000.0,-951000000.0,840000000.0,-2430000000.0
Repurchase Of Stock,-59000000.0,-2000000.0,-2000000.0,-2000000.0
Effect Of Exchange Rate,13000000.0,19000000.0,11000000.0,23000000.0
Total Cash From Operating Activities,-29000000.0,-280000000.0,-187000000.0,472000000.0
Depreciation,378000000.0,412000000.0,287000000.0,590000000.0
Other Cashflows From Investing Activities,-49000000.0,-80000000.0,-61000000.0,-60000000.0
Other Cashflows From Financing Activities,-11000000.0,-48000000.0,-5000000.0,-6000000.0
Change To Netincome,-260000000.0,870000000.0,-2170000000.0,187000000.0
Capital Expenditures,-98000000.0,-46000000.0,-59000000.0,-61000000.0
Change To Account Receivables,,257000000.0,257000000.0,257000000.0
