Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,121883000.0,141847000.0,114485000.0,150543000.0
Capital Surplus,1228446000.0,1190058000.0,1104264000.0,1072005000.0
Total Liab,3480808000.0,3078324000.0,2088313000.0,1940551000.0
Total Stockholder Equity,1445622000.0,1579274000.0,1232673000.0,1198518000.0
Minority Interest,281000.0,68000.0,169000.0,960000.0
Other Current Liab,1316499000.0,1166177000.0,1051014000.0,472541000.0
Total Assets,4926711000.0,4657666000.0,3321155000.0,3140029000.0
Common Stock,1267000.0,1256000.0,1198000.0,1178000.0
Other Current Assets,1225088000.0,1102133000.0,991334000.0,117948000.0
Retained Earnings,1013155000.0,1016554000.0,669805000.0,436954000.0
Other Liab,75102000.0,103374000.0,111938000.0,119066000.0
Good Will,665821000.0,743823000.0,704197000.0,717386000.0
Treasury Stock,-797246000.0,-628594000.0,-542594000.0,-311619000.0
Other Assets,232557000.0,115741000.0,123017000.0,113611000.0
Cash,1831309000.0,1451722000.0,780409000.0,819144000.0
Total Current Liabilities,1855441000.0,1633980000.0,1378394000.0,1407720000.0
Other Stockholder Equity,-94214000.0,-164890000.0,-151043000.0,-94458000.0
Property Plant Equipment,540515000.0,737523000.0,291869000.0,268303000.0
Total Current Assets,3365935000.0,2918732000.0,2087587000.0,1890186000.0
Net Tangible Assets,657918000.0,693604000.0,413991000.0,330589000.0
Net Receivables,117517000.0,201935000.0,202514000.0,744879000.0
Long Term Debt,1437589000.0,1090939000.0,589782000.0,404012000.0
Accounts Payable,147593000.0,81743000.0,72908000.0,494841000.0
Short Long Term Debt,,,,13525000.0
Inventory,,,,95672000.0
Change To Liabilities,99632000.0,53682000.0,54911000.0,7564000.0
Total Cashflows From Investing Activities,-105531000.0,-229027000.0,-132283000.0,-101858000.0
Net Borrowings,265243000.0,500202000.0,170478000.0,-169355000.0
Total Cash From Financing Activities,35398000.0,416298000.0,2024000.0,-161149000.0
Change To Operating Activities,-143937000.0,4302000.0,-76141000.0,169679000.0
Issuance Of Stock,18101000.0,14979000.0,18608000.0,10990000.0
Net Income,-3399000.0,346749000.0,232851000.0,156845000.0
Change In Cash,282129000.0,686427000.0,230434000.0,88430000.0
Repurchase Of Stock,-241518000.0,-74456000.0,-177855000.0,-3065000.0
Effect Of Exchange Rate,98757000.0,-5332000.0,-36540000.0,65161000.0
Total Cash From Operating Activities,253505000.0,504488000.0,397233000.0,286276000.0
Depreciation,127021000.0,111744000.0,106021000.0,95030000.0
Other Cashflows From Investing Activities,-6803000.0,-3553000.0,-6945000.0,-4623000.0
Change To Account Receivables,63629000.0,-87882000.0,26497000.0,-198089000.0
Other Cashflows From Financing Activities,-6428000.0,-24427000.0,-9207000.0,281000.0
Change To Netincome,108458000.0,45628000.0,52290000.0,18560000.0
Capital Expenditures,-97628000.0,-131287000.0,-112484000.0,-97235000.0
Change To Inventory,,,,-11602000.0
