Date,Open,High,Low,Close,Adj Close,Volume,ticker
1993-02-25,3.4375,3.59375,3.4375,3.5,1.0195320844650269,26388800,ELS
1993-02-26,3.546875,3.5625,3.5,3.546875,1.0331863164901733,2868000,ELS
1993-03-01,3.546875,3.578125,3.53125,3.5625,1.037738561630249,1756800,ELS
1993-03-02,3.5625,3.578125,3.515625,3.515625,1.0240832567214966,746400,ELS
1993-03-03,3.515625,3.546875,3.5,3.53125,1.028635025024414,880800,ELS
1993-03-04,3.53125,3.609375,3.515625,3.609375,1.0513921976089478,636000,ELS
1993-03-05,3.625,3.703125,3.625,3.65625,1.065046787261963,487200,ELS
1993-03-08,3.65625,3.75,3.65625,3.75,1.0923564434051514,440800,ELS
1993-03-09,3.75,3.859375,3.71875,3.84375,1.1196645498275757,552000,ELS
1993-03-10,3.90625,4.046875,3.90625,4.03125,1.1742827892303467,1170400,ELS
1993-03-11,4.015625,4.109375,4.0,4.09375,1.1924887895584106,399200,ELS
1993-03-12,4.0625,4.125,4.015625,4.109375,1.1970396041870117,238400,ELS
1993-03-15,4.109375,4.125,4.03125,4.046875,1.1788341999053955,293600,ELS
1993-03-16,4.03125,4.03125,3.78125,3.90625,1.1378705501556396,689600,ELS
1993-03-17,3.890625,4.0625,3.890625,4.03125,1.1742827892303467,278400,ELS
1993-03-18,4.03125,4.046875,3.9375,3.984375,1.1606286764144897,200800,ELS
1993-03-19,3.953125,3.96875,3.90625,3.953125,1.1515250205993652,146400,ELS
1993-03-22,3.9375,3.953125,3.921875,3.953125,1.1573803424835205,114400,ELS
1993-03-23,3.953125,4.0,3.9375,3.984375,1.1665303707122803,84000,ELS
1993-03-24,3.96875,4.0,3.96875,3.96875,1.1619555950164795,96800,ELS
1993-03-25,3.984375,4.0625,3.96875,4.0625,1.1894028186798096,262400,ELS
1993-03-26,4.078125,4.34375,4.078125,4.21875,1.2351493835449219,852000,ELS
1993-03-29,4.25,4.296875,4.234375,4.296875,1.258022665977478,261600,ELS
1993-03-30,4.34375,4.453125,4.34375,4.4375,1.2991939783096313,427200,ELS
1993-03-31,4.4375,4.59375,4.4375,4.5625,1.3357911109924316,279200,ELS
1993-04-01,4.59375,4.59375,4.4375,4.484375,1.3129174709320068,272000,ELS
1993-04-02,4.453125,4.5,4.40625,4.4375,1.2991939783096313,125600,ELS
1993-04-05,4.421875,4.4375,4.421875,4.421875,1.2946193218231201,51200,ELS
1993-04-06,4.453125,4.5625,4.453125,4.515625,1.322067141532898,522400,ELS
