,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,-795267000.0,168539000.0,439347000.0,324192000.0
Total Cashflows From Investing Activities,-3347506000.0,-6177173000.0,-6170162000.0,-3987409000.0
Net Borrowings,464408000.0,-912899000.0,-358219000.0,-606555000.0
Total Cash From Financing Activities,-359025000.0,-1513321000.0,-839103000.0,-1035711000.0
Change To Operating Activities,407353000.0,186321000.0,186597000.0,-658488000.0
Issuance Of Stock,16169000.0,17946000.0,20560000.0,20840000.0
Net Income,-604572000.0,2734910000.0,3419040000.0,2582579000.0
Change In Cash,1300956000.0,472338000.0,721406000.0,-765667000.0
Repurchase Of Stock,-16130000.0,-25152000.0,-63456000.0,-63408000.0
Effect Of Exchange Rate,-296000.0,-348000.0,-37937000.0,-7883000.0
Total Cash From Operating Activities,5007783000.0,8163180000.0,7768608000.0,4265336000.0
Depreciation,5140569000.0,4176617000.0,3729650000.0,3844387000.0
Other Cashflows From Investing Activities,-74734000.0,105061000.0,-321133000.0,-89935000.0
Dividends Paid,-820823000.0,-588200000.0,-438045000.0,-386531000.0
Change To Inventory,122647000.0,90284000.0,-395408000.0,-174548000.0
Change To Account Receivables,466523000.0,-91792000.0,-368180000.0,-392131000.0
Other Cashflows From Financing Activities,-2649000.0,-5016000.0,57000.0,-57000.0
Change To Netincome,319626000.0,858179000.0,850023000.0,-1196718000.0
Capital Expenditures,-3464700000.0,-6422526000.0,-6076475000.0,-4124242000.0
