,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,2073932000.0,848426000.0,871660000.0,1105115000.0
Capital Surplus,5723977000.0,4789657000.0,3865990000.0,3819798000.0
Total Liab,3085522000.0,2101603000.0,2017270000.0,1956542000.0
Total Stockholder Equity,3648995000.0,2823489000.0,2337100000.0,2511193000.0
Other Current Liab,45726000.0,40200000.0,27761000.0,40581000.0
Total Assets,6734517000.0,4925092000.0,4354370000.0,4467735000.0
Common Stock,1714000.0,1595000.0,1505000.0,1501000.0
Retained Earnings,-2077060000.0,-1968289000.0,-1531479000.0,-1311595000.0
Other Liab,400995000.0,47582000.0,49921000.0,50311000.0
Good Will,2183915000.0,1237672000.0,1237672000.0,1237672000.0
Treasury Stock,364000.0,526000.0,1084000.0,1489000.0
Other Assets,12345000.0,14070000.0,11319000.0,12102000.0
Cash,1103816000.0,1491288000.0,806678000.0,703926000.0
Total Current Liabilities,628914000.0,575844000.0,252832000.0,222274000.0
Short Long Term Debt,314151000.0,256783000.0,1319000.0,1319000.0
Other Stockholder Equity,364000.0,526000.0,1084000.0,1489000.0
Property Plant Equipment,662323000.0,597230000.0,603192000.0,596188000.0
Total Current Assets,1775302000.0,2198594000.0,1606627000.0,1504858000.0
Long Term Investments,26700000.0,29100000.0,23900000.0,11800000.0
Net Tangible Assets,-608852000.0,737391000.0,227768000.0,168406000.0
Short Term Investments,274151000.0,348699000.0,476324000.0,518731000.0
Net Receivables,257635000.0,234785000.0,208206000.0,165208000.0
Long Term Debt,1885033000.0,1343102000.0,1577610000.0,1557327000.0
Inventory,89033000.0,92265000.0,80427000.0,82215000.0
Accounts Payable,34704000.0,35709000.0,26061000.0,30998000.0
