,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,21076000.0,-17040000.0,5023000.0,20868000.0
Total Cashflows From Investing Activities,-60120000.0,-60606000.0,18744000.0,-40638000.0
Total Cash From Financing Activities,-360053000.0,-103311000.0,-117519000.0,-140934000.0
Change To Operating Activities,51296000.0,49136000.0,59239000.0,17352000.0
Net Income,210682000.0,216726000.0,150611000.0,107962000.0
Change In Cash,-74420000.0,57304000.0,122108000.0,-26197000.0
Repurchase Of Stock,-353593000.0,-105797000.0,-55738000.0,-168094000.0
Effect Of Exchange Rate,18684000.0,3335000.0,-9789000.0,7750000.0
Total Cash From Operating Activities,327069000.0,217886000.0,230672000.0,147625000.0
Depreciation,38648000.0,38305000.0,39698000.0,41740000.0
Other Cashflows From Investing Activities,17000.0,257000.0,731000.0,295000.0
Change To Account Receivables,-26800000.0,-141894000.0,-72034000.0,-50831000.0
Other Cashflows From Financing Activities,-6460000.0,-685000.0,-16506000.0,-2840000.0
Change To Netincome,43502000.0,36542000.0,51569000.0,-17261000.0
Capital Expenditures,-34866000.0,-42072000.0,-32270000.0,-32004000.0
Issuance Of Stock,,3171000.0,38475000.0,38475000.0
Net Borrowings,,,-83750000.0,30000000.0
