,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
0,Intangible Assets,50775000.0,68276000.0,72298000.0,73096000.0
1,Total Liab,45728412000.0,36238312000.0,31919675000.0,31193448000.0
2,Total Stockholder Equity,3889331000.0,3586184000.0,3488954000.0,3334064000.0
3,Total Assets,49957680000.0,39824496000.0,35408629000.0,34527512000.0
4,Common Stock,9816000.0,10629000.0,11628000.0,12010000.0
5,Other Current Assets,270531000.0,191023000.0,155408000.0,146428000.0
6,Retained Earnings,3867252000.0,3658197000.0,3218551000.0,2785430000.0
7,Other Liab,338810000.0,403459000.0,355061000.0,363126000.0
8,Good Will,350298000.0,349398000.0,236347000.0,150601000.0
9,Treasury Stock,12263000.0,-126723000.0,-235187000.0,-122294000.0
10,Other Assets,33062666000.0,28966831000.0,25558059000.0,23882826000.0
11,Cash,362048000.0,376719000.0,327440000.0,336150000.0
12,Total Current Liabilities,44088120000.0,35169470000.0,31244747000.0,29960082000.0
13,Other Stockholder Equity,12263000.0,-126723000.0,-235187000.0,-122294000.0
14,Property Plant Equipment,1319331000.0,1321511000.0,1204179000.0,1138431000.0
15,Total Current Assets,683469000.0,614333000.0,530878000.0,533675000.0
16,Long Term Investments,14491141000.0,8504147000.0,7806868000.0,8748883000.0
17,Net Tangible Assets,3509366000.0,3193400000.0,3204375000.0,3132312000.0
18,Long Term Debt,1241855000.0,580407000.0,306707000.0,862445000.0
19,Inventory,50890000.0,46591000.0,48030000.0,51097000.0
20,Accounts Payable,43431609000.0,34431236000.0,30672460000.0,29266275000.0
21,Capital Surplus,,44081000.0,493962000.0,658918000.0
22,Short Long Term Debt,,,,15000000.0
23,Net Receivables,,,,2223000.0
0,Investments,-5818736000.0,32211000.0,1381155000.0,126298000.0
1,Change To Liabilities,0.0,0.0,0.0,0.0
2,Total Cashflows From Investing Activities,-9871758000.0,-1558177000.0,101140000.0,-668672000.0
3,Net Borrowings,562366000.0,99013000.0,-873964000.0,123365000.0
4,Total Cash From Financing Activities,9517072000.0,1067179000.0,-563619000.0,109823000.0
5,Change To Operating Activities,-34233000.0,-31781000.0,-1469000.0,-60561000.0
6,Net Income,491723000.0,457371000.0,400313000.0,323752000.0
7,Change In Cash,-14671000.0,49279000.0,-8710000.0,-203591000.0
8,Repurchase Of Stock,-333755000.0,-453123000.0,-163095000.0,-163095000.0
9,Total Cash From Operating Activities,340015000.0,540277000.0,453769000.0,355258000.0
10,Depreciation,141442000.0,127689000.0,120429000.0,113646000.0
11,Other Cashflows From Investing Activities,-99468000.0,-99468000.0,-99468000.0,-7725000.0
12,Dividends Paid,-30393000.0,-18137000.0,-16779000.0,-14412000.0
13,Other Cashflows From Financing Activities,8978917000.0,1439426000.0,490219000.0,870000.0
14,Change To Netincome,-231041000.0,10713000.0,-78072000.0,-2064000.0
15,Capital Expenditures,-133384000.0,-121077000.0,-140444000.0,-84798000.0
