,2021-05-31,2021-02-28,2020-11-30,2020-08-31
Change To Liabilities,-4535000.0,19205000.0,-7484000.0,-2258000.0
Total Cashflows From Investing Activities,-18656000.0,-11426000.0,-58322000.0,-12186000.0
Total Cash From Financing Activities,-68099000.0,-90282000.0,-56377000.0,-29363000.0
Change To Operating Activities,-794000.0,13719000.0,-55147000.0,-2786000.0
Issuance Of Stock,18436000.0,10533000.0,17993000.0,30197000.0
Net Income,100679000.0,96643000.0,101206000.0,89079000.0
Change In Cash,55656000.0,42547000.0,-25468000.0,127898000.0
Repurchase Of Stock,-57570000.0,-71496000.0,-43144000.0,-28620000.0
Effect Of Exchange Rate,2098000.0,3595000.0,-45000.0,10020000.0
Total Cash From Operating Activities,140313000.0,140660000.0,89276000.0,159427000.0
Depreciation,27947000.0,26492000.0,25987000.0,59466000.0
Dividends Paid,-28958000.0,-29083000.0,-29103000.0,-29001000.0
Change To Account Receivables,8626000.0,-15079000.0,-342000.0,-3517000.0
Other Cashflows From Financing Activities,-7000.0,-236000.0,-2123000.0,-1939000.0
Change To Netincome,16312000.0,-3706000.0,11754000.0,16579000.0
Capital Expenditures,-18656000.0,-10425000.0,-18333000.0,-14733000.0
Investments,,-1001000.0,1927000.0,2547000.0
