,2021-05-31,2020-05-31,2019-05-31,2018-05-31
Intangible Assets,322000000.0,322000000.0,416000000.0,480000000.0
Capital Surplus,3481000000.0,3356000000.0,3231000000.0,3117000000.0
Total Liab,58609000000.0,55242000000.0,36646000000.0,32914000000.0
Total Stockholder Equity,24168000000.0,18295000000.0,17757000000.0,19416000000.0
Total Assets,82777000000.0,73537000000.0,54403000000.0,52330000000.0
Common Stock,32000000.0,32000000.0,32000000.0,32000000.0
Retained Earnings,29817000000.0,25216000000.0,24648000000.0,24823000000.0
Other Liab,10841000000.0,10751000000.0,11016000000.0,8044000000.0
Good Will,6992000000.0,6372000000.0,6884000000.0,6973000000.0
Treasury Stock,-9162000000.0,-10309000000.0,-10154000000.0,-8556000000.0
Other Assets,3748000000.0,2935000000.0,3588000000.0,3382000000.0
Cash,7087000000.0,4881000000.0,2319000000.0,3265000000.0
Total Current Liabilities,13660000000.0,10344000000.0,9013000000.0,9627000000.0
Deferred Long Term Asset Charges,1418000000.0,1347000000.0,1340000000.0,1263000000.0
Short Long Term Debt,50000000.0,,964000000.0,1342000000.0
Other Stockholder Equity,-732000000.0,-1147000000.0,-865000000.0,-578000000.0
Property Plant Equipment,51135000000.0,47525000000.0,30429000000.0,28154000000.0
Total Current Assets,20580000000.0,16383000000.0,13086000000.0,13341000000.0
Net Tangible Assets,16854000000.0,11601000000.0,10457000000.0,11963000000.0
Net Receivables,11977000000.0,10102000000.0,9116000000.0,8481000000.0
Long Term Debt,20733000000.0,21518000000.0,16555000000.0,15172000000.0
Inventory,587000000.0,572000000.0,553000000.0,525000000.0
Accounts Payable,3841000000.0,3269000000.0,3030000000.0,2977000000.0
