,2021-05-31,2021-02-28,2020-11-30,2020-08-31
Intangible Assets,322000000.0,,,
Capital Surplus,3481000000.0,3445000000.0,3400000000.0,3375000000.0
Total Liab,58609000000.0,60812000000.0,60117000000.0,58186000000.0
Total Stockholder Equity,24168000000.0,21981000000.0,21039000000.0,19462000000.0
Total Assets,82777000000.0,82793000000.0,81156000000.0,77648000000.0
Common Stock,32000000.0,32000000.0,32000000.0,32000000.0
Retained Earnings,29817000000.0,27924000000.0,27208000000.0,26108000000.0
Other Liab,10841000000.0,11459000000.0,11772000000.0,11073000000.0
Good Will,6992000000.0,6977000000.0,6702000000.0,6633000000.0
Treasury Stock,-9162000000.0,-9420000000.0,-9601000000.0,-10053000000.0
Other Assets,3748000000.0,4152000000.0,3734000000.0,3354000000.0
Cash,7087000000.0,8856000000.0,8339000000.0,6954000000.0
Total Current Liabilities,13660000000.0,13566000000.0,12115000000.0,11195000000.0
Deferred Long Term Asset Charges,1418000000.0,,,
Short Long Term Debt,50000000.0,103000000.0,,
Other Stockholder Equity,-732000000.0,-764000000.0,-898000000.0,-1020000000.0
Property Plant Equipment,51135000000.0,49954000000.0,49455000000.0,48758000000.0
Total Current Assets,20580000000.0,21710000000.0,21265000000.0,18903000000.0
Net Tangible Assets,16854000000.0,15004000000.0,14337000000.0,12829000000.0
Net Receivables,11977000000.0,11481000000.0,11417000000.0,10508000000.0
Long Term Debt,20733000000.0,22797000000.0,22800000000.0,22800000000.0
Inventory,587000000.0,583000000.0,587000000.0,593000000.0
Accounts Payable,3841000000.0,3990000000.0,3733000000.0,3339000000.0
