,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,484000000.0,-195000000.0,14000000.0,28000000.0
Change To Liabilities,27000000.0,113000000.0,-75000000.0,67000000.0
Total Cashflows From Investing Activities,10000000.0,-708000000.0,-187000000.0,-180000000.0
Net Borrowings,-426000000.0,401000000.0,-817000000.0,-802000000.0
Total Cash From Financing Activities,-1066000000.0,-311000000.0,-1051000000.0,-826000000.0
Change To Operating Activities,-75000000.0,-131000000.0,-77000000.0,-283000000.0
Issuance Of Stock,17000000.0,43000000.0,25000000.0,22000000.0
Net Income,269000000.0,304000000.0,300000000.0,264000000.0
Change In Cash,11000000.0,-75000000.0,-32000000.0,44000000.0
Repurchase Of Stock,-619000000.0,-742000000.0,-214000000.0,-38000000.0
Effect Of Exchange Rate,6000000.0,-8000000.0,20000000.0,8000000.0
Total Cash From Operating Activities,1061000000.0,952000000.0,1186000000.0,1042000000.0
Depreciation,813000000.0,797000000.0,771000000.0,752000000.0
Other Cashflows From Investing Activities,-2000000.0,2000000.0,11000000.0,11000000.0
Change To Account Receivables,-25000000.0,-129000000.0,-140000000.0,182000000.0
Other Cashflows From Financing Activities,-38000000.0,-13000000.0,-45000000.0,-8000000.0
Change To Netincome,40000000.0,-15000000.0,396000000.0,48000000.0
Capital Expenditures,-260000000.0,-234000000.0,-211000000.0,-201000000.0
