,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-10000000.0,-10000000.0,-10000000.0,-10000000.0
Change To Liabilities,95000000.0,127100000.0,-5400000.0,45400000.0
Total Cashflows From Investing Activities,-53400000.0,-306500000.0,-46400000.0,-239300000.0
Net Borrowings,-10900000.0,782200000.0,-2000000.0,725500000.0
Total Cash From Financing Activities,-74100000.0,613700000.0,22400000.0,-110100000.0
Change To Operating Activities,-44300000.0,-24600000.0,-2400000.0,-24200000.0
Issuance Of Stock,32600000.0,11600000.0,31100000.0,14200000.0
Net Income,46800000.0,10800000.0,70500000.0,64700000.0
Change In Cash,82100000.0,527900000.0,143400000.0,-150900000.0
Repurchase Of Stock,-95800000.0,-180100000.0,-180100000.0,-180100000.0
Effect Of Exchange Rate,200000.0,-600000.0,1500000.0,1200000.0
Total Cash From Operating Activities,209400000.0,221300000.0,165900000.0,197300000.0
Depreciation,50000000.0,49000000.0,51400000.0,50700000.0
Other Cashflows From Investing Activities,100000.0,1000000.0,1000000.0,-100000.0
Change To Netincome,61900000.0,59000000.0,51800000.0,60700000.0
Capital Expenditures,-12100000.0,-9000000.0,-27400000.0,-8400000.0
Other Cashflows From Financing Activities,,,-6700000.0,-849800000.0
