,2021-01-30,2020-02-01,2019-02-02,2018-02-03
Capital Surplus,11000000.0,,27700000.0,22100000.0
Total Liab,2035900000.0,2208200000.0,2708100000.0,2827100000.0
Total Stockholder Equity,436700000.0,611500000.0,1336200000.0,2214500000.0
Other Current Liab,425200000.0,423000000.0,549500000.0,711600000.0
Total Assets,2472600000.0,2819700000.0,4044300000.0,5041600000.0
Common Stock,100000.0,100000.0,100000.0,100000.0
Other Current Assets,112500000.0,13500000.0,3700000.0,662500000.0
Retained Earnings,474900000.0,690200000.0,1362700000.0,2180100000.0
Other Liab,20500000.0,21400000.0,55400000.0,78400000.0
Treasury Stock,-49300000.0,-78800000.0,-54300000.0,12200000.0
Other Assets,58100000.0,143100000.0,231400000.0,229200000.0
Cash,508500000.0,499400000.0,1624400000.0,854200000.0
Total Current Liabilities,1342700000.0,1237700000.0,2181100000.0,1930800000.0
Short Long Term Debt,73100000.0,,349200000.0,
Other Stockholder Equity,-49300000.0,-78800000.0,-54300000.0,12200000.0
Property Plant Equipment,863300000.0,1042900000.0,321300000.0,351000000.0
Total Current Assets,1551200000.0,1633700000.0,3127700000.0,3018400000.0
Net Tangible Assets,436700000.0,611500000.0,972300000.0,771500000.0
Net Receivables,281100000.0,208400000.0,134200000.0,138600000.0
Long Term Debt,216000000.0,419800000.0,471600000.0,817900000.0
Inventory,602500000.0,859700000.0,1250500000.0,1250300000.0
Accounts Payable,341800000.0,380800000.0,1051900000.0,892300000.0
Deferred Long Term Asset Charges,,83000000.0,147300000.0,158200000.0
Intangible Assets,,,33500000.0,92500000.0
Good Will,,,363900000.0,1350500000.0
