,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,1498257000.0,1492097000.0,1411642000.0,1400392000.0
Capital Surplus,117165000.0,98777000.0,78380000.0,68126000.0
Total Liab,10222212000.0,10950129000.0,9211049000.0,8948225000.0
Total Stockholder Equity,3204796000.0,3674707000.0,3450451000.0,3412152000.0
Minority Interest,13207000.0,20793000.0,21540000.0,52004000.0
Other Current Liab,1317158000.0,1530386000.0,1178239000.0,1134897000.0
Total Assets,13440215000.0,14645629000.0,12683040000.0,12412381000.0
Common Stock,144354000.0,145378000.0,145937000.0,146653000.0
Other Current Assets,7668000.0,754216000.0,6006000.0,203589000.0
Retained Earnings,3979779000.0,4571860000.0,4341212000.0,4049965000.0
Other Liab,1022220000.0,997434000.0,878183000.0,924180000.0
Good Will,1917477000.0,2293519000.0,2128776000.0,2153988000.0
Treasury Stock,-1036502000.0,-1141308000.0,-1115078000.0,-852592000.0
Other Assets,709798000.0,752042000.0,539701000.0,608406000.0
Cash,990166000.0,276992000.0,333547000.0,314899000.0
Total Current Liabilities,5894084000.0,6394120000.0,5900733000.0,5474025000.0
Deferred Long Term Asset Charges,65658000.0,45921000.0,29509000.0,40158000.0
Short Long Term Debt,160531000.0,648835000.0,717492000.0,694989000.0
Other Stockholder Equity,-1036502000.0,-1141308000.0,-1115078000.0,-852592000.0
Property Plant Equipment,2200920000.0,2169355000.0,1027231000.0,936702000.0
Total Current Assets,7113763000.0,7938616000.0,7575690000.0,7312893000.0
Net Tangible Assets,-210938000.0,-110909000.0,-89967000.0,-142228000.0
Net Receivables,1556966000.0,2440252000.0,2493636000.0,2421563000.0
Long Term Debt,2516614000.0,2802056000.0,2432133000.0,2550020000.0
Inventory,3506271000.0,3443876000.0,3609389000.0,3771089000.0
Accounts Payable,4128084000.0,3948000000.0,3995789000.0,3634859000.0
