,2020-07-31,2019-07-31,2018-07-31,2017-07-31
Intangible Assets,39708000.0,66542000.0,95654000.0,71315000.0
Capital Surplus,1499050000.0,1391904000.0,1296380000.0,828415000.0
Total Liab,708084000.0,592762000.0,567817000.0,190371000.0
Total Stockholder Equity,1656768000.0,1574201000.0,1413616000.0,888530000.0
Deferred Long Term Liab,30950000.0,32242000.0,9377000.0,
Other Current Liab,126430000.0,119079000.0,147387000.0,106069000.0
Total Assets,2364852000.0,2166963000.0,1981433000.0,1078901000.0
Common Stock,8000.0,8000.0,8000.0,8000.0
Other Current Assets,17987000.0,14045000.0,9074000.0,
Retained Earnings,162956000.0,190047000.0,124976000.0,65903000.0
Other Liab,33270000.0,43168000.0,24532000.0,22004000.0
Good Will,340877000.0,340877000.0,340877000.0,141851000.0
Treasury Stock,-5246000.0,-7758000.0,-7748000.0,-5796000.0
Other Assets,170082000.0,134565000.0,102222000.0,46834000.0
Cash,366969000.0,254101000.0,437140000.0,263176000.0
Total Current Liabilities,225198000.0,232272000.0,238157000.0,168367000.0
Deferred Long Term Asset Charges,101565000.0,90308000.0,90369000.0,37430000.0
Other Stockholder Equity,-5246000.0,-7758000.0,-7748000.0,-5796000.0
Property Plant Equipment,169032000.0,65809000.0,18595000.0,14376000.0
Total Current Assets,1343218000.0,1334974000.0,1222461000.0,679240000.0
Long Term Investments,301935000.0,224196000.0,201624000.0,125285000.0
Net Tangible Assets,1276183000.0,1166782000.0,977085000.0,675364000.0
Short Term Investments,777560000.0,879731000.0,636694000.0,310027000.0
Net Receivables,163733000.0,175171000.0,124849000.0,79433000.0
Long Term Debt,330208000.0,317322000.0,305128000.0,
Accounts Payable,22634000.0,34255000.0,30635000.0,13416000.0
