,2021-07-03,2021-04-03,2021-01-02,2020-09-26
Intangible Assets,1258783000.0,1269932000.0,1578017000.0,1501161000.0
Capital Surplus,310148000.0,304090000.0,307883000.0,306157000.0
Total Liab,6715799000.0,6504772000.0,6884916000.0,7010151000.0
Total Stockholder Equity,562190000.0,484481000.0,813958000.0,1149533000.0
Other Current Liab,296454000.0,300415000.0,354216000.0,9389000.0
Total Assets,7277989000.0,6989253000.0,7698874000.0,8159684000.0
Common Stock,3491000.0,3491000.0,3488000.0,3483000.0
Other Current Assets,461701000.0,456403000.0,175995000.0,210617000.0
Retained Earnings,829479000.0,753785000.0,1069546000.0,1454676000.0
Other Liab,512981000.0,536024000.0,681762000.0,667589000.0
Good Will,1148021000.0,1150138000.0,1255630000.0,1246113000.0
Treasury Stock,-580928000.0,-576885000.0,-566959000.0,-614783000.0
Other Assets,405689000.0,410504000.0,443801000.0,300324000.0
Cash,667298000.0,530403000.0,909437000.0,731481000.0
Total Current Liabilities,2255956000.0,2003735000.0,2103368000.0,2022746000.0
Deferred Long Term Asset Charges,351309000.0,355826000.0,373414000.0,200877000.0
Short Long Term Debt,37500000.0,34375000.0,263936000.0,
Other Stockholder Equity,-580928000.0,-576885000.0,-566959000.0,-614783000.0
Property Plant Equipment,844882000.0,874570000.0,1013039000.0,1014865000.0
Total Current Assets,3620614000.0,3284109000.0,3408387000.0,4097221000.0
Net Tangible Assets,-1844614000.0,-1935589000.0,-2019689000.0,-1597741000.0
Net Receivables,960993000.0,807738000.0,831860000.0,984571000.0
Long Term Debt,3647482000.0,3649631000.0,3739434000.0,3972212000.0
Inventory,1530622000.0,1489565000.0,1491095000.0,2170552000.0
Accounts Payable,1171645000.0,976887000.0,948511000.0,1144190000.0
Deferred Long Term Liab,,,5120000.0,
