,2021-07-03,2021-04-03,2021-01-02,2020-09-26
Change To Liabilities,191121000.0,109197000.0,-222207000.0,-20772000.0
Total Cashflows From Investing Activities,-2335000.0,-13604000.0,2000.0,-461000.0
Net Borrowings,-7508000.0,-299170000.0,-4776000.0,-158418000.0
Total Cash From Financing Activities,-59498000.0,-354423000.0,-61272000.0,-211877000.0
Change To Operating Activities,32488000.0,-63738000.0,-12505000.0,104052000.0
Net Income,128676000.0,-263262000.0,-332164000.0,103278000.0
Change In Cash,134359000.0,-368743000.0,178049000.0,48398000.0
Effect Of Exchange Rate,882000.0,-17662000.0,22072000.0,11721000.0
Total Cash From Operating Activities,195310000.0,16946000.0,217247000.0,249015000.0
Depreciation,27016000.0,33341000.0,38176000.0,31565000.0
Other Cashflows From Investing Activities,5143000.0,1794000.0,4364000.0,1795000.0
Dividends Paid,-52368000.0,-52351000.0,-52253000.0,-52236000.0
Change To Inventory,-52368000.0,-122781000.0,123310000.0,-197958000.0
Change To Account Receivables,-136151000.0,-63955000.0,168934000.0,216255000.0
Other Cashflows From Financing Activities,378000.0,-2902000.0,-5858000.0,312000.0
Change To Netincome,1439000.0,383564000.0,450441000.0,9411000.0
Capital Expenditures,-7527000.0,-17804000.0,-4702000.0,-2521000.0
Issuance Of Stock,,,1615000.0,1615000.0
Repurchase Of Stock,,,,-1535000.0
